
RIDE SUMMARY,
Total Time, 73.1, Minutes, 
Total Distance, 21.52, MI, 
AVG Power, 158, 
MAX Power, 1005, 
AVG RPM, 84, 
MAX RPM, 113, 
AVG HR, 0, 
MAX HR, 0, 
CAL, 645, 

RIDE DATA, 
Power, RPM, HR, DISTANCE,
30,38,0,0.00,
23,53,0,0.00,
23,58,0,0.00,
27,59,0,0.01,
26,35,0,0.01,
10,35,0,0.01,
9,26,0,0.01,
10,50,0,0.01,
28,59,0,0.01,
28,60,0,0.02,
28,59,0,0.02,
28,60,0,0.02,
28,60,0,0.03,
36,67,0,0.03,
36,67,0,0.03,
35,58,0,0.04,
26,58,0,0.04,
33,64,0,0.04,
33,66,0,0.04,
34,67,0,0.05,
35,67,0,0.05,
37,80,0,0.06,
52,80,0,0.06,
52,81,0,0.06,
52,80,0,0.07,
64,81,0,0.07,
124,82,0,0.08,
104,80,0,0.09,
103,80,0,0.10,
100,80,0,0.11,
101,80,0,0.13,
103,79,0,0.14,
101,81,0,0.15,
105,81,0,0.16,
104,80,0,0.17,
103,80,0,0.18,
103,80,0,0.19,
102,79,0,0.20,
101,79,0,0.21,
107,79,0,0.22,
99,79,0,0.23,
99,79,0,0.24,
99,79,0,0.25,
98,78,0,0.26,
97,78,0,0.27,
97,79,0,0.28,
98,79,0,0.29,
98,78,0,0.30,
97,78,0,0.31,
97,80,0,0.32,
100,81,0,0.33,
104,81,0,0.34,
110,81,0,0.35,
109,80,0,0.36,
106,79,0,0.37,
106,80,0,0.38,
108,81,0,0.39,
109,80,0,0.40,
107,80,0,0.41,
104,78,0,0.42,
94,77,0,0.43,
101,77,0,0.44,
92,76,0,0.45,
98,76,0,0.46,
97,79,0,0.47,
104,78,0,0.48,
118,78,0,0.49,
102,78,0,0.50,
103,80,0,0.52,
76,80,0,0.53,
105,80,0,0.54,
104,79,0,0.55,
103,78,0,0.56,
102,80,0,0.57,
104,80,0,0.58,
106,80,0,0.59,
106,80,0,0.60,
106,81,0,0.61,
108,83,0,0.62,
112,85,0,0.63,
117,86,0,0.64,
119,85,0,0.65,
117,84,0,0.66,
109,82,0,0.68,
109,82,0,0.69,
110,83,0,0.70,
110,80,0,0.71,
105,79,0,0.72,
105,80,0,0.73,
106,81,0,0.74,
107,80,0,0.75,
112,81,0,0.76,
109,83,0,0.78,
113,83,0,0.79,
113,81,0,0.80,
107,80,0,0.81,
106,81,0,0.82,
110,82,0,0.83,
109,81,0,0.84,
108,80,0,0.85,
107,81,0,0.86,
106,80,0,0.87,
106,80,0,0.88,
110,82,0,0.90,
109,80,0,0.91,
107,80,0,0.92,
106,81,0,0.93,
107,80,0,0.94,
106,79,0,0.95,
103,79,0,0.96,
102,79,0,0.97,
102,78,0,0.98,
103,80,0,0.99,
106,82,0,1.00,
108,80,0,1.01,
105,79,0,1.02,
103,78,0,1.03,
106,80,0,1.04,
106,82,0,1.05,
110,82,0,1.07,
111,83,0,1.08,
113,84,0,1.09,
114,83,0,1.10,
107,79,0,1.11,
104,81,0,1.12,
107,82,0,1.13,
110,82,0,1.14,
111,82,0,1.15,
111,83,0,1.17,
111,81,0,1.18,
108,82,0,1.19,
109,82,0,1.20,
110,82,0,1.21,
110,82,0,1.22,
110,82,0,1.23,
109,80,0,1.24,
108,83,0,1.25,
113,83,0,1.26,
113,84,0,1.28,
114,83,0,1.29,
113,83,0,1.30,
113,84,0,1.31,
115,85,0,1.32,
117,85,0,1.33,
110,82,0,1.35,
110,82,0,1.36,
109,83,0,1.37,
113,83,0,1.38,
112,83,0,1.39,
112,84,0,1.40,
114,84,0,1.41,
115,84,0,1.42,
109,80,0,1.44,
104,78,0,1.45,
101,79,0,1.46,
109,82,0,1.47,
109,82,0,1.48,
110,82,0,1.49,
110,82,0,1.50,
110,81,0,1.51,
109,81,0,1.52,
107,79,0,1.53,
104,78,0,1.54,
101,77,0,1.56,
99,77,0,1.57,
98,78,0,1.58,
97,76,0,1.59,
79,81,0,1.60,
104,80,0,1.60,
105,80,0,1.61,
106,81,0,1.62,
107,81,0,1.64,
107,82,0,1.65,
109,80,0,1.66,
104,80,0,1.67,
104,79,0,1.68,
108,81,0,1.69,
108,83,0,1.70,
111,83,0,1.71,
113,84,0,1.72,
114,84,0,1.73,
115,84,0,1.74,
115,83,0,1.76,
114,84,0,1.77,
114,84,0,1.78,
115,83,0,1.79,
113,82,0,1.80,
110,81,0,1.81,
103,79,0,1.83,
104,81,0,1.84,
107,83,0,1.85,
112,83,0,1.86,
112,81,0,1.87,
111,81,0,1.88,
127,88,0,1.89,
119,83,0,1.90,
108,78,0,1.91,
100,78,0,1.93,
106,82,0,1.94,
110,82,0,1.95,
108,79,0,1.96,
102,77,0,1.97,
100,78,0,1.98,
100,80,0,1.99,
114,83,0,2.00,
113,84,0,2.01,
114,85,0,2.02,
116,85,0,2.03,
115,76,0,2.04,
107,89,0,2.06,
125,89,0,2.07,
125,89,0,2.08,
124,87,0,2.09,
98,90,0,2.10,
126,89,0,2.12,
125,89,0,2.13,
125,89,0,2.14,
125,90,0,2.15,
126,89,0,2.16,
126,89,0,2.18,
123,86,0,2.19,
118,87,0,2.20,
119,89,0,2.21,
122,86,0,2.23,
118,86,0,2.24,
116,86,0,2.25,
118,86,0,2.26,
116,79,0,2.27,
122,87,0,2.29,
118,87,0,2.30,
117,86,0,2.31,
117,86,0,2.32,
118,87,0,2.33,
118,96,0,2.34,
120,87,0,2.36,
119,85,0,2.37,
114,83,0,2.38,
110,84,0,2.39,
113,84,0,2.40,
113,84,0,2.42,
114,82,0,2.43,
109,85,0,2.44,
117,99,0,2.45,
172,97,0,2.46,
168,97,0,2.48,
160,96,0,2.49,
168,96,0,2.51,
161,96,0,2.53,
155,93,0,2.54,
154,92,0,2.56,
153,92,0,2.57,
152,93,0,2.59,
154,93,0,2.60,
147,91,0,2.62,
148,91,0,2.64,
144,89,0,2.65,
143,89,0,2.67,
152,92,0,2.68,
156,95,0,2.69,
156,93,0,2.71,
154,90,0,2.73,
148,101,0,2.74,
180,100,0,2.76,
193,94,0,2.77,
184,93,0,2.79,
185,94,0,2.81,
189,96,0,2.83,
190,97,0,2.85,
191,97,0,2.87,
193,97,0,2.89,
194,97,0,2.91,
191,96,0,2.93,
190,95,0,2.94,
188,95,0,2.96,
186,94,0,2.98,
189,94,0,3.00,
185,94,0,3.02,
181,92,0,3.04,
186,95,0,3.06,
187,98,0,3.08,
195,97,0,3.09,
193,94,0,3.11,
182,94,0,3.13,
182,94,0,3.15,
188,95,0,3.17,
185,95,0,3.19,
183,93,0,3.21,
179,93,0,3.23,
175,94,0,3.24,
176,92,0,3.26,
171,92,0,3.28,
174,93,0,3.30,
180,93,0,3.31,
172,90,0,3.33,
167,89,0,3.35,
167,90,0,3.37,
169,92,0,3.38,
175,94,0,3.40,
179,91,0,3.42,
171,90,0,3.44,
169,91,0,3.45,
170,90,0,3.47,
169,90,0,3.49,
167,90,0,3.50,
167,90,0,3.52,
173,92,0,3.54,
174,93,0,3.56,
173,93,0,3.57,
181,94,0,3.59,
179,94,0,3.61,
178,93,0,3.63,
511,83,0,3.64,
339,75,0,3.67,
415,75,0,3.71,
390,71,0,3.75,
412,74,0,3.79,
408,71,0,3.83,
386,72,0,3.87,
380,72,0,3.91,
381,67,0,3.95,
359,72,0,3.99,
395,73,0,4.02,
405,74,0,4.06,
332,67,0,4.10,
402,74,0,4.14,
420,74,0,4.18,
333,76,0,4.22,
221,90,0,4.26,
235,92,0,4.28,
254,95,0,4.30,
257,96,0,4.33,
239,94,0,4.35,
234,94,0,4.38,
224,91,0,4.40,
240,92,0,4.43,
246,95,0,4.45,
266,97,0,4.47,
271,99,0,4.50,
275,99,0,4.53,
260,95,0,4.55,
251,94,0,4.58,
249,92,0,4.61,
244,91,0,4.63,
234,91,0,4.66,
235,92,0,4.68,
255,97,0,4.70,
253,95,0,4.73,
176,93,0,4.75,
169,93,0,4.77,
169,93,0,4.79,
169,91,0,4.81,
167,91,0,4.82,
163,91,0,4.84,
171,92,0,4.86,
169,91,0,4.87,
160,90,0,4.89,
158,89,0,4.91,
166,92,0,4.92,
183,95,0,4.94,
176,94,0,4.95,
186,94,0,4.97,
186,95,0,4.99,
175,93,0,5.01,
182,93,0,5.03,
183,95,0,5.05,
188,95,0,5.07,
174,91,0,5.08,
164,87,0,5.10,
172,91,0,5.12,
177,96,0,5.14,
188,95,0,5.15,
182,94,0,5.17,
170,90,0,5.19,
170,91,0,5.21,
180,93,0,5.22,
181,95,0,5.24,
171,95,0,5.26,
205,101,0,5.28,
192,97,0,5.30,
192,98,0,5.32,
192,100,0,5.34,
193,100,0,5.36,
174,97,0,5.38,
179,93,0,5.39,
178,93,0,5.41,
189,97,0,5.43,
196,99,0,5.45,
194,97,0,5.47,
187,94,0,5.49,
172,93,0,5.51,
172,92,0,5.52,
171,92,0,5.54,
173,93,0,5.56,
180,94,0,5.57,
180,94,0,5.59,
180,93,0,5.61,
177,93,0,5.63,
178,93,0,5.65,
177,92,0,5.66,
177,93,0,5.68,
177,94,0,5.70,
177,92,0,5.72,
169,92,0,5.74,
173,93,0,5.75,
186,96,0,5.77,
187,96,0,5.79,
185,93,0,5.81,
175,92,0,5.83,
173,92,0,5.84,
180,94,0,5.86,
179,93,0,5.88,
176,91,0,5.90,
170,91,0,5.91,
168,91,0,5.93,
168,91,0,5.95,
170,91,0,5.97,
171,92,0,5.98,
179,96,0,6.00,
186,96,0,6.02,
185,93,0,6.04,
180,94,0,6.05,
181,95,0,6.07,
196,99,0,6.09,
196,99,0,6.11,
195,97,0,6.13,
188,95,0,6.15,
179,92,0,6.17,
173,92,0,6.19,
180,94,0,6.20,
181,95,0,6.22,
182,95,0,6.24,
189,97,0,6.26,
186,96,0,6.28,
184,92,0,6.30,
177,93,0,6.31,
181,95,0,6.33,
189,97,0,6.35,
182,94,0,6.37,
181,94,0,6.39,
175,91,0,6.40,
170,90,0,6.42,
169,92,0,6.44,
177,93,0,6.46,
177,94,0,6.47,
193,102,0,6.49,
205,104,0,6.51,
213,106,0,6.53,
224,107,0,6.55,
221,108,0,6.57,
221,106,0,6.60,
213,103,0,6.62,
208,102,0,6.64,
205,103,0,6.66,
209,103,0,6.68,
209,103,0,6.70,
206,89,0,6.72,
207,101,0,6.74,
202,94,0,6.76,
235,109,0,6.78,
244,102,0,6.80,
241,102,0,6.83,
240,102,0,6.85,
240,102,0,6.88,
239,100,0,6.90,
233,100,0,6.92,
233,100,0,6.95,
216,90,0,6.97,
228,94,0,6.99,
158,81,0,7.01,
104,73,0,7.03,
116,81,0,7.05,
99,83,0,7.06,
66,86,0,7.07,
154,87,0,7.07,
150,85,0,7.09,
141,83,0,7.10,
127,79,0,7.12,
148,85,0,7.13,
147,85,0,7.14,
147,85,0,7.16,
146,84,0,7.17,
145,84,0,7.19,
141,83,0,7.20,
135,85,0,7.22,
147,87,0,7.23,
151,86,0,7.25,
150,87,0,7.26,
150,87,0,7.28,
151,84,0,7.29,
141,81,0,7.31,
157,88,0,7.32,
155,87,0,7.33,
153,86,0,7.35,
143,84,0,7.37,
142,82,0,7.38,
142,85,0,7.39,
147,86,0,7.41,
149,86,0,7.42,
149,83,0,7.44,
141,84,0,7.45,
144,84,0,7.47,
150,87,0,7.48,
151,87,0,7.50,
152,86,0,7.51,
124,79,0,7.53,
155,86,0,7.54,
148,85,0,7.56,
145,83,0,7.57,
141,84,0,7.59,
140,82,0,7.60,
142,83,0,7.61,
137,83,0,7.63,
138,83,0,7.64,
139,83,0,7.66,
138,84,0,7.67,
140,84,0,7.68,
145,86,0,7.70,
