
RIDE SUMMARY,
Total Time, 45.3, Minutes, 
Total Distance, 21.98, MI, 
AVG Power, 243, 
MAX Power, 601, 
AVG RPM, 84, 
MAX RPM, 113, 
AVG HR, 109, 
MAX HR, 130, 
CAL, 659, 

STAGE_1_SUMMARY,
Stage Time,  5.7, Minutes, 
Total Distance, 3.44, MI, 
AVG Power, 303, 
MAX Power, 412, 
AVG HR, 105, 
MAX HR, 119, 

STAGE_2_SUMMARY,
Stage Time,  1.5, Minutes, 
Total Distance, 1.04, MI, 
AVG Power, 353, 
MAX Power, 601, 
AVG HR, 120, 
MAX HR, 125, 

STAGE_3_SUMMARY,
Stage Time,  1.8, Minutes, 
Total Distance, 1.40, MI, 
AVG Power, 389, 
MAX Power, 439, 
AVG HR, 121, 
MAX HR, 126, 

STAGE_4_SUMMARY,
Stage Time,  3.7, Minutes, 
Total Distance, 2.61, MI, 
AVG Power, 354, 
MAX Power, 501, 
AVG HR, 122, 
MAX HR, 130, 

STAGE_5_SUMMARY,
Stage Time,  2.5, Minutes, 
Total Distance, 1.68, MI, 
AVG Power, 337, 
MAX Power, 428, 
AVG HR, 123, 
MAX HR, 129, 

STAGE_6_SUMMARY,
Stage Time,  8.9, Minutes, 
Total Distance, 5.59, MI, 
AVG Power, 313, 
MAX Power, 390, 
AVG HR, 124, 
MAX HR, 129, 

RIDE DATA, 
Power, RPM, HR, DISTANCE,
0,8,0,0.00,
0,15,65,0.00,
1,51,65,0.00,
19,52,65,0.00,
20,56,65,0.00,
23,59,66,0.00,
26,61,66,0.01,
29,65,66,0.01,
35,70,67,0.01,
36,74,67,0.01,
40,75,67,0.02,
43,76,67,0.02,
45,78,68,0.03,
45,77,68,0.03,
44,75,68,0.04,
44,76,69,0.04,
44,76,69,0.05,
42,76,70,0.05,
44,77,70,0.05,
45,77,72,0.06,
45,77,72,0.06,
34,78,72,0.07,
47,78,71,0.07,
47,79,70,0.08,
48,80,69,0.08,
50,83,68,0.09,
52,82,68,0.09,
52,82,69,0.10,
51,80,70,0.10,
50,80,70,0.11,
49,81,70,0.11,
50,84,70,0.12,
53,82,70,0.12,
52,80,70,0.13,
50,80,70,0.13,
49,79,71,0.14,
48,80,72,0.14,
48,80,72,0.15,
48,78,72,0.15,
46,77,72,0.16,
45,78,72,0.16,
45,77,72,0.17,
45,78,72,0.17,
46,80,72,0.18,
61,86,71,0.18,
62,83,71,0.19,
62,82,70,0.19,
60,83,70,0.20,
58,83,71,0.20,
59,83,72,0.21,
60,82,73,0.22,
58,81,74,0.22,
55,84,74,0.23,
60,76,73,0.23,
58,90,73,0.24,
68,87,73,0.25,
67,86,74,0.25,
65,88,75,0.26,
66,88,75,0.27,
68,89,75,0.27,
69,87,76,0.28,
68,88,76,0.29,
66,87,76,0.29,
66,84,76,0.30,
