RIDE SUMMARY,,,
Total Time,70.2, Minutes, 
Total Distance,25.27, MI, 
AVG Power,250, ,
MAX Power,429, ,
AVG RPM,80, ,
MAX RPM,117, ,
AVG HR,135, ,
MAX HR,150, ,
CAL,1132, ,
,,,
STAGE_1_SUMMARY,,,
Stage Time,7.3, Minutes, 
Total Distance,2.95, MI, 
AVG Power,267, ,
MAX Power,372, ,
AVG HR,132, ,
MAX HR,137, ,
,,,
STAGE_2_SUMMARY,,,
Stage Time,7.2, Minutes, 
Total Distance,2.92, MI, 
AVG Power,270, ,
MAX Power,313, ,
AVG HR,137, ,
MAX HR,141, ,
,,,
STAGE_3_SUMMARY,,,
Stage Time,7.3, Minutes, 
Total Distance,3.02, MI, 
AVG Power,283, ,
MAX Power,337, ,
AVG HR,140, ,
MAX HR,144, ,
,,,
STAGE_4_SUMMARY,,,
Stage Time,6.2, Minutes, 
Total Distance,2.56, MI, 
AVG Power,284, ,
MAX Power,336, ,
AVG HR,142, ,
MAX HR,150, ,
,,,
STAGE_5_SUMMARY,,,
Stage Time,3.2, Minutes, 
Total Distance,1.2, MI, 
AVG Power,213, ,
MAX Power,266, ,
AVG HR,139, ,
MAX HR,149, ,
,,,
STAGE_6_SUMMARY,,,
Stage Time,4.9, Minutes, 
Total Distance,1.98, MI, 
AVG Power,262, ,
MAX Power,315, ,
AVG HR,139, ,
MAX HR,146, ,
,,,
STAGE_7_SUMMARY,,,
Stage Time,5, Minutes, 
Total Distance,2.05, MI, 
AVG Power,279, ,
MAX Power,323, ,
AVG HR,143, ,
MAX HR,146, ,
,,,
STAGE_8_SUMMARY,,,
Stage Time,3.7, Minutes, 
Total Distance,1.51, MI, 
AVG Power,285, ,
MAX Power,321, ,
AVG HR,142, ,
MAX HR,146, ,
,,,
RIDE DATA, ,,
Power, RPM, HR, DISTANCE
37,28,0,0
30,31,0,0
54,46,0,0.01
75,45,0,0.02
73,44,82,0.04
69,43,82,0.05
65,43,84,0.06
133,67,85,0.07
148,65,84,0.09
140,63,83,0.1
131,60,83,0.12
126,63,84,0.14
137,65,87,0.15
150,67,89,0.17
156,67,90,0.18
153,67,92,0.2
155,75,92,0.22
183,74,92,0.23
182,73,92,0.25
178,74,93,0.27
189,78,94,0.29
201,79,95,0.3
199,79,96,0.32
187,78,97,0.34
183,78,99,0.36
179,77,101,0.38
179,78,102,0.39
183,78,103,0.41
181,76,103,0.43
172,74,104,0.45
165,73,105,0.46
162,73,104,0.48
176,77,104,0.5
182,79,104,0.52
195,79,104,0.53
188,79,105,0.55
186,78,106,0.57
180,77,106,0.59
185,78,107,0.61
178,79,107,0.62
199,81,107,0.64
205,83,108,0.66
214,83,108,0.68
209,81,108,0.7
205,81,109,0.71
207,81,109,0.73
188,80,110,0.75
190,79,111,0.77
194,79,111,0.79
193,79,111,0.81
189,78,111,0.82
189,78,112,0.84
187,79,112,0.86
192,79,113,0.88
191,80,113,0.9
199,81,114,0.91
203,82,113,0.93
206,83,113,0.95
206,83,113,0.97
206,82,114,0.99
201,82,114,1.01
200,81,115,1.02
199,81,115,1.04
200,81,115,1.06
191,81,115,1.08
199,83,115,1.1
212,85,115,1.12
211,84,115,1.13
206,85,115,1.15
211,86,115,1.17
215,86,115,1.19
215,86,115,1.21
215,86,115,1.23
216,86,115,1.25
214,85,115,1.26
214,86,116,1.28
212,86,116,1.3
211,85,116,1.32
210,85,116,1.34
210,85,116,1.36
222,84,117,1.38
208,83,117,1.4
207,82,118,1.41
205,81,118,1.43
205,81,118,1.45
202,82,118,1.47
210,81,118,1.49
221,81,118,1.51
218,81,118,1.53
219,81,118,1.54
218,80,118,1.56
214,80,118,1.58
213,80,119,1.6
213,80,119,1.62
219,80,119,1.64
212,80,119,1.66
212,80,119,1.68
212,80,119,1.7
211,79,119,1.71
208,79,119,1.73
208,82,119,1.75
356,109,119,1.77
326,103,119,1.79
319,103,119,1.81
330,105,119,1.83
339,108,119,1.86
350,117,120,1.88
393,116,121,1.9
394,115,121,1.92
374,114,122,1.95
276,89,123,1.97
229,81,124,1.99
229,81,126,2.01
229,81,127,2.03
223,80,128,2.05
214,80,128,2.07
217,80,128,2.09
218,81,127,2.11
229,85,127,2.13
365,110,127,2.14
