
RIDE SUMMARY,
Total Time, 70.0, Minutes, 
Total Distance, 24.06, MI, 
AVG Power, 172, 
MAX Power, 295, 
AVG RPM, 75, 
MAX RPM, 98, 
AVG HR, 128, 
MAX HR, 144, 
CAL, 721, 

STAGE_1_SUMMARY,
Stage Time, 60.8, Minutes, 
Total Distance, 21.85, MI, 
AVG Power, 179, 
MAX Power, 295, 
AVG HR, 132, 
MAX HR, 144, 

RIDE DATA, 
Power, RPM, HR, DISTANCE,
41,77,0,0.00,
47,86,0,0.00,
57,85,82,0.01,
55,83,83,0.01,
53,81,83,0.02,
58,83,85,0.02,
51,81,85,0.03,
50,81,86,0.04,
50,81,86,0.04,
58,81,86,0.05,
58,82,86,0.05,
51,83,86,0.06,
52,82,86,0.06,
52,83,87,0.07,
53,80,89,0.07,
53,79,90,0.08,
46,77,90,0.08,
46,80,89,0.09,
46,59,89,0.09,
6,29,89,0.10,
6,29,88,0.10,
8,73,88,0.10,
63,90,86,0.10,
63,91,86,0.11,
63,91,82,0.11,
63,90,81,0.12,
62,89,81,0.13,
65,89,82,0.13,
65,89,85,0.14,
63,86,86,0.15,
60,85,87,0.15,
60,87,87,0.16,
70,92,87,0.16,
69,92,87,0.17,
68,91,87,0.18,
68,91,87,0.18,
66,91,88,0.19,
66,91,89,0.20,
66,91,90,0.20,
65,87,90,0.21,
62,86,90,0.22,
60,86,89,0.22,
60,86,89,0.23,
60,86,88,0.24,
59,86,87,0.24,
58,85,86,0.25,
47,76,86,0.25,
60,86,85,0.26,
78,98,85,0.26,
76,95,85,0.27,
67,88,86,0.28,
58,85,87,0.29,
58,86,89,0.29,
60,89,89,0.30,
62,88,90,0.30,
62,89,90,0.31,
63,89,90,0.32,
130,90,90,0.32,
130,90,91,0.33,
130,88,91,0.34,
122,86,92,0.36,
121,85,92,0.37,
119,84,92,0.38,
117,84,93,0.39,
116,84,94,0.41,
115,82,95,0.42,
113,82,95,0.43,
114,85,95,0.44,
120,87,92,0.45,
123,88,91,0.46,
126,87,91,0.48,
124,85,91,0.49,
115,83,91,0.50,
110,81,91,0.51,
115,83,91,0.52,
115,83,91,0.54,
94,75,91,0.55,
124,86,91,0.56,
123,86,91,0.57,
121,84,91,0.58,
116,83,91,0.59,
115,82,90,0.61,
120,85,90,0.62,
127,89,89,0.63,
129,88,89,0.64,
137,87,89,0.65,
145,88,90,0.67,
149,88,91,0.68,
147,85,93,0.70,
138,82,93,0.71,
126,80,95,0.73,
126,80,95,0.74,
127,82,96,0.75,
129,82,96,0.76,
131,84,96,0.78,
137,84,97,0.79,
137,84,97,0.80,
134,83,97,0.82,
133,83,97,0.83,
133,82,97,0.85,
131,81,97,0.86,
134,82,97,0.87,
148,84,99,0.89,
148,85,99,0.90,
150,86,100,0.91,
152,86,101,0.93,
152,85,101,0.95,
149,82,102,0.96,
143,83,103,0.98,
144,81,103,0.99,
145,83,104,1.00,
144,81,104,1.02,
160,88,104,1.03,
154,86,104,1.05,
153,86,105,1.06,
137,77,106,1.08,
141,83,106,1.10,
151,89,106,1.11,
159,87,105,1.12,
158,86,105,1.14,
145,83,106,1.16,
145,84,106,1.17,
148,86,108,1.18,
177,85,108,1.20,
177,85,108,1.22,
170,83,108,1.23,
169,81,107,1.25,
179,85,107,1.27,
131,82,109,1.29,
158,79,110,1.30,
156,77,111,1.32,
149,79,111,1.33,
155,78,111,1.35,
143,74,111,1.36,
152,80,110,1.38,
159,79,110,1.39,
150,77,109,1.41,
167,82,109,1.42,
166,81,108,1.44,
162,79,106,1.46,
149,77,105,1.47,
149,77,105,1.49,
148,77,105,1.50,
147,75,104,1.52,
167,82,104,1.53,
168,83,103,1.55,
168,77,103,1.56,
183,86,103,1.58,
181,85,105,1.60,
177,83,105,1.62,
163,81,107,1.63,
162,80,109,1.65,
161,82,110,1.67,
164,81,111,1.68,
164,82,111,1.70,
166,83,111,1.72,
168,80,110,1.73,
163,83,110,1.75,
191,91,110,1.77,
186,88,110,1.78,
174,85,111,1.80,
176,85,112,1.82,
178,86,114,1.84,
177,84,115,1.86,
173,84,116,1.88,
176,84,116,1.89,
175,85,116,1.91,
174,84,117,1.93,
174,85,118,1.95,
169,83,119,1.96,
170,85,119,1.98,
180,86,119,2.00,
181,87,119,2.01,
181,86,119,2.03,
179,84,119,2.05,
171,83,119,2.07,
171,90,119,2.09,
185,87,118,2.10,
179,84,118,2.12,
170,84,118,2.14,
165,82,118,2.16,
166,82,119,2.17,
166,82,119,2.19,
163,81,120,2.21,
162,82,120,2.22,
171,84,119,2.24,
