
RIDE SUMMARY,
Total Time, 53.4, Minutes, 
Total Distance, 14.08, MI, 
AVG Power, 107, 
MAX Power, 170, 
AVG RPM, 75, 
MAX RPM, 112, 
AVG HR, 142, 
MAX HR, 162, 
CAL, 369, 

RIDE DATA, 
Power, RPM, HR, DISTANCE,
18,77,0,0.00,
25,91,92,0.00,
25,94,92,0.01,
27,96,92,0.02,
61,96,94,0.02,
63,94,97,0.03,
70,91,97,0.04,
70,90,98,0.06,
70,90,99,0.07,
70,88,99,0.08,
67,85,101,0.09,
64,83,102,0.11,
61,83,102,0.12,
61,83,103,0.13,
61,83,103,0.14,
67,85,103,0.15,
69,87,104,0.17,
70,86,104,0.18,
68,84,105,0.19,
65,84,105,0.20,
67,84,106,0.22,
66,85,107,0.23,
67,85,108,0.24,
69,85,109,0.25,
68,85,109,0.26,
68,85,110,0.28,
69,85,111,0.29,
68,84,113,0.30,
66,83,113,0.31,
61,81,114,0.33,
54,78,114,0.34,
54,78,113,0.35,
62,81,113,0.36,
69,86,112,0.37,
70,87,112,0.38,
70,85,111,0.40,
70,86,111,0.41,
74,85,111,0.42,
72,84,111,0.43,
71,83,111,0.45,
70,83,111,0.46,
70,83,111,0.47,
70,83,111,0.48,
70,83,112,0.50,
71,82,112,0.51,
68,82,112,0.52,
69,82,114,0.53,
69,82,115,0.55,
67,82,115,0.56,
69,82,116,0.57,
69,82,116,0.58,
69,82,116,0.60,
69,82,115,0.61,
69,81,115,0.62,
69,82,115,0.63,
70,83,115,0.65,
78,84,115,0.66,
78,84,116,0.67,
77,84,116,0.68,
80,85,116,0.70,
80,85,116,0.71,
79,85,116,0.72,
78,83,117,0.74,
77,83,117,0.75,
76,84,117,0.76,
77,84,118,0.77,
77,84,118,0.79,
77,84,119,0.80,
76,84,119,0.81,
78,84,119,0.83,
79,83,119,0.84,
74,83,120,0.85,
75,83,120,0.87,
76,83,121,0.88,
75,82,121,0.89,
74,82,121,0.90,
75,83,121,0.92,
75,83,121,0.93,
73,82,122,0.94,
76,83,122,0.95,
86,101,123,0.97,
111,102,123,0.98,
119,104,123,0.99,
120,106,124,1.01,
124,106,125,1.02,
123,105,126,1.04,
119,104,127,1.06,
118,104,129,1.07,
119,105,130,1.09,
120,105,130,1.10,
113,102,0,1.12,
112,101,131,1.13,
111,101,0,1.15,
111,100,133,1.16,
84,86,133,1.18,
