
RIDE SUMMARY,
Total Time, 50.8, Minutes, 
Total Distance, 5.14, MI, 
AVG Power, 50, 
MAX Power, 118, 
AVG RPM, 77, 
MAX RPM, 126, 
AVG HR, 73, 
MAX HR, 80, 
CAL, 154, 

RIDE DATA, 
Power, RPM, HR, DISTANCE,
26,69,0,0.00,
36,79,0,0.00,
47,79,0,0.00,
46,78,0,0.01,
46,77,0,0.01,
45,76,0,0.02,
32,76,0,0.02,
44,76,0,0.03,
44,77,0,0.03,
44,77,0,0.04,
44,76,0,0.04,
44,78,0,0.04,
45,78,0,0.05,
45,77,0,0.05,
45,76,0,0.06,
44,76,0,0.06,
44,78,0,0.07,
46,79,0,0.07,
47,77,0,0.08,
45,76,0,0.08,
44,76,0,0.09,
44,76,0,0.09,
44,77,0,0.09,
44,78,0,0.10,
45,78,0,0.10,
45,77,0,0.11,
45,78,0,0.11,
45,78,0,0.12,
57,85,73,0.12,
43,75,54,0.13,
44,80,54,0.13,
50,85,56,0.14,
55,84,76,0.14,
54,84,77,0.15,
54,87,79,0.15,
57,87,79,0.16,
56,83,79,0.16,
51,82,79,0.17,
51,81,79,0.18,
49,82,79,0.18,
50,85,79,0.19,
53,85,79,0.19,
54,84,79,0.20,
52,83,79,0.20,
52,85,0,0.21,
54,85,80,0.21,
55,85,80,0.22,
53,83,80,0.22,
52,81,80,0.23,
48,80,78,0.23,
48,81,77,0.24,
50,84,75,0.24,
51,82,74,0.25,
52,84,73,0.25,
51,81,73,0.26,
49,79,73,0.26,
48,80,73,0.27,
48,79,73,0.27,
47,79,73,0.28,
47,82,73,0.28,
49,82,73,0.29,
51,84,73,0.29,
52,84,73,0.30,
52,82,73,0.30,
51,79,73,0.31,
47,81,73,0.31,
48,81,72,0.32,
58,86,72,0.32,
110,81,72,0.33,
52,82,72,0.34,
50,81,71,0.35,
49,80,71,0.35,
49,81,71,0.36,
55,84,72,0.36,
54,82,72,0.37,
52,73,73,0.37,
46,82,72,0.38,
52,82,72,0.38,
52,83,70,0.39,
53,83,70,0.39,
53,82,70,0.40,
53,83,71,0.41,
53,82,71,0.41,
52,81,72,0.42,
55,84,74,0.42,
55,84,75,0.43,
54,81,77,0.43,
51,85,77,0.44,
56,85,77,0.44,
55,82,77,0.45,
