Stages_Data,,,,,
English,,,,,
Time,Miles,MPH,Watts,HR,RPM
0:01,0,15.4,79,108,61
0:02,0,17.59,111,107,65
0:03,0.01,16.07,88,107,63
0:04,0.01,15.01,74,107,61
0:05,0.02,16.35,92,107,60
0:06,0.02,16.14,89,106,59
0:07,0.03,16.14,89,106,59
0:08,0.03,16.95,101,106,61
0:09,0.04,16.95,101,106,61
0:10,0.04,15.92,86,106,61
0:11,0.04,15.92,86,106,61
0:12,0.05,16.07,88,106,59
0:13,0.05,16.07,88,106,58
0:14,0.06,16.35,92,106,60
0:15,0.06,16.28,91,107,62
0:16,0.07,16.89,100,107,61
0:17,0.07,16.89,100,107,61
0:18,0.08,16.49,94,107,60
0:19,0.08,17.71,113,107,58
0:20,0.09,17.71,113,106,58
0:21,0.09,17.02,102,106,62
0:22,0.1,16.07,88,106,63
0:23,0.1,16.69,97,106,63
0:24,0.1,16.49,94,106,61
0:25,0.11,16.07,88,106,60
0:26,0.11,16.07,88,107,60
0:27,0.12,16.56,95,108,59
0:28,0.12,16.56,95,108,59
0:29,0.13,16.69,97,108,59
0:30,0.13,16.49,94,108,59
0:31,0.14,16.35,92,109,59
0:32,0.14,16.21,90,108,60
0:33,0.15,16.21,90,108,60
0:34,0.15,16.76,98,108,60
0:35,0.15,16.76,98,108,60
0:36,0.16,16.07,88,108,58
0:37,0.16,15.4,79,108,58
0:38,0.17,15.71,83,108,57
0:39,0.17,15.4,79,108,57
0:40,0.18,15.4,79,108,57
0:41,0.18,15.92,86,108,57
0:42,0.19,15.92,86,108,58
0:43,0.19,16.35,92,108,58
0:44,0.19,17.02,102,108,59
0:45,0.2,17.28,106,108,61
0:46,0.2,17.65,112,109,62
0:47,0.21,17.77,114,108,62
0:48,0.21,17.09,103,107,62
0:49,0.22,16.76,98,107,63
0:50,0.22,16.69,97,107,63
0:51,0.23,16.14,89,108,61
0:52,0.23,16.69,97,108,62
0:53,0.24,16.76,98,109,62
0:54,0.24,15.85,85,109,60
0:55,0.25,16.07,88,108,59
0:56,0.25,16.69,97,108,59
0:57,0.26,16.49,94,108,59
0:58,0.26,16.35,92,108,59
0:59,0.26,16.76,98,108,60
1:00,0.27,16.35,92,108,61
1:01,0.27,16.28,91,108,61
1:02,0.28,16.14,89,107,60
1:03,0.28,16.28,91,107,60
1:04,0.29,17.02,102,107,62
1:05,0.29,16.69,97,107,62
1:06,0.3,16.35,92,107,61
1:07,0.3,16.76,98,108,61
1:08,0.31,17.09,103,108,61
1:09,0.31,16.28,91,108,61
1:10,0.31,15.92,86,107,60
1:11,0.32,16.35,92,107,60
1:12,0.32,16.76,98,107,60
1:13,0.33,16.89,100,107,60
1:14,0.33,16.28,91,107,60
1:15,0.34,17.09,103,107,60
1:16,0.34,17.65,112,107,61
1:17,0.35,16.89,100,107,62
1:18,0.35,16.35,92,107,63
1:19,0.36,14.68,70,107,59
1:20,0.36,15.4,79,107,56
1:21,0.36,16.35,92,109,55
1:22,0.37,17.02,102,109,57
1:23,0.37,16.82,99,109,58
1:24,0.38,17.15,104,108,59
1:25,0.38,17.46,109,107,61
1:26,0.39,16.76,98,107,61
1:27,0.39,16.07,88,107,60
1:28,0.4,17.15,104,107,60
1:29,0.4,17.71,113,107,61
1:30,0.41,17.15,104,108,60
1:31,0.41,16.89,100,108,60
1:32,0.42,15.56,81,109,58
1:33,0.42,14.59,69,109,57
1:34,0.42,14.59,69,110,58
1:35,0.43,14.59,69,109,58
1:36,0.43,13.31,55,109,54
1:37,0.43,0,0,108,43
1:38,0.43,0,0,107,43
1:39,0.43,0,0,107,31
1:40,0.43,0,0,107,31
1:41,0.43,0,0,107,31
1:42,0.43,0,0,107,31
1:43,0.43,0,0,107,31
1:44,0.43,0,0,107,31
1:45,0.43,0,0,106,31
1:46,0.43,0,0,106,31
1:47,0.43,0,0,105,31
1:48,0.44,12.9,51,104,41
1:49,0.44,12.9,51,104,46
1:50,0.45,17.34,107,105,50
1:51,0.45,17.41,108,107,53
1:52,0.46,17.41,108,108,53
1:53,0.46,13.1,53,109,52
1:54,0.46,13.31,55,110,52
1:55,0.47,11.87,42,110,51
1:56,0.47,14.43,67,111,52
1:57,0.47,15.85,85,111,56
1:58,0.48,15.09,75,111,58
1:59,0.48,15.09,75,111,58
2:00,0.49,10.93,35,110,53
2:01,0.49,10.93,35,109,53
2:02,0.49,13.31,55,109,53
2:03,0.5,12.45,47,108,51
2:04,0.5,13.01,52,108,50
2:05,0.5,14.93,73,108,55
2:06,0.51,17.09,103,108,60
2:07,0.51,17.34,107,108,60
2:08,0.52,16.56,95,108,59
2:09,0.52,16.56,95,108,58
2:10,0.53,16.49,94,107,59
2:11,0.53,16.82,99,107,59
2:12,0.54,17.71,113,107,60
2:13,0.54,17.09,103,107,60
2:14,0.55,16.89,100,107,60
2:15,0.55,16.95,101,107,60
2:16,0.55,16.35,92,107,59
2:17,0.56,16.35,92,107,59
2:18,0.56,16.82,99,108,59
2:19,0.57,17.53,110,108,60
2:20,0.57,17.71,113,108,61
2:21,0.58,17.28,106,108,61
2:22,0.58,16.35,92,107,60
2:23,0.59,16.14,89,107,60
2:24,0.59,16.56,95,107,60
2:25,0.6,16.49,94,107,60
2:26,0.6,15.71,83,108,59
2:27,0.61,15.17,76,109,59
2:28,0.61,15.17,76,109,59
2:29,0.61,17.21,105,109,59
2:30,0.62,17.71,113,109,60
2:31,0.62,17.02,102,108,62
2:32,0.63,17.34,107,108,61
2:33,0.63,16.89,100,107,60
2:34,0.64,16.76,98,107,59
2:35,0.64,16.76,98,106,59
2:36,0.65,16.69,97,105,62
2:37,0.65,17.09,103,105,63
2:38,0.66,17.71,113,105,63
2:39,0.66,17.89,116,105,63
2:40,0.67,17.41,108,105,62
2:41,0.67,16.69,97,105,62
2:42,0.68,17.09,103,106,63
2:43,0.68,17.46,109,106,62
2:44,0.69,16.89,100,107,62
2:45,0.69,17.15,104,107,63
2:46,0.7,17.77,114,106,63
2:47,0.7,17.65,112,106,61
2:48,0.7,17.65,112,105,62
2:49,0.71,16.89,100,105,62
2:50,0.71,16.49,94,105,62
2:51,0.72,16.69,97,105,61
2:52,0.72,16.35,92,105,62
2:53,0.73,16.76,98,105,63
2:54,0.73,17.77,114,105,63
2:55,0.74,17.28,106,105,63
2:56,0.74,16.28,91,105,63
2:57,0.75,15.32,78,106,62
2:58,0.75,17.09,103,106,64
2:59,0.76,17.89,116,106,64
3:00,0.76,16.56,95,107,63
3:01,0.77,17.21,105,107,62
3:02,0.77,17.21,105,108,62
3:03,0.78,17.21,105,108,62
3:04,0.78,17.77,114,109,62
3:05,0.79,17.77,114,108,62
3:06,0.79,18.64,129,108,64
3:07,0.8,17.28,106,108,62
3:08,0.8,17.28,106,107,62
3:09,0.81,19.34,142,107,63
3:10,0.81,18.41,125,107,67
3:11,0.82,16.95,101,107,68
3:12,0.82,17.09,103,108,68
3:13,0.82,16.35,92,109,65
3:14,0.83,16.56,95,109,65
3:15,0.83,17.21,105,110,66
3:16,0.84,17.59,111,110,66
3:17,0.84,15.78,84,111,62
3:18,0.85,12.11,44,111,57
3:19,0.85,7.52,17,111,45
3:20,0.85,7.52,17,111,45
3:21,0.85,7.52,17,111,45
3:22,0.85,5.37,10,111,25
3:23,0.86,5.37,10,110,25
3:24,0.86,5.37,10,110,25
3:25,0.86,5.37,10,110,25
3:26,0.86,5.37,10,109,25
3:27,0.86,5.37,10,108,25
3:28,0.86,5.37,10,107,25
3:29,0.87,5.37,10,106,25
3:30,0.87,5.37,10,105,25
3:31,0.87,5.37,10,104,25
3:32,0.87,5.37,10,104,25
3:33,0.87,5.37,10,104,25
3:34,0.87,5.37,10,104,25
3:35,0.87,5.37,10,105,25
3:36,0.88,10.16,30,105,28
3:37,0.88,10.78,34,105,34
3:38,0.88,13.8,60,104,48
3:39,0.89,15.4,79,103,50
3:40,0.89,16,87,102,54
3:41,0.9,16,87,101,54
3:42,0.9,15.85,85,101,55
3:43,0.91,16.14,89,101,55
3:44,0.91,16.07,88,101,55
3:45,0.91,15.4,79,102,55
3:46,0.92,15.48,80,102,53
3:47,0.92,16,87,104,54
3:48,0.93,15.25,77,104,58
3:49,0.93,15.17,76,104,58
3:50,0.94,15.63,82,104,57
3:51,0.94,16.07,88,103,58
3:52,0.94,16.35,92,102,59
3:53,0.95,15.92,86,101,60
3:54,0.95,14.85,72,101,59
3:55,0.96,15.92,86,101,60
3:56,0.96,16.69,97,102,60
3:57,0.97,16.14,89,103,60
3:58,0.97,16.14,89,104,60
3:59,0.98,15.71,83,105,59
4:00,0.98,15.71,83,105,59
4:01,0.98,15.85,85,106,59
4:02,0.99,15.4,79,105,58
4:03,0.99,15.56,81,105,58
4:04,1,15.78,84,104,59
4:05,1,15.85,85,104,59
4:06,1.01,15.71,83,103,60
4:07,1.01,15.85,85,103,59
4:08,1.01,16.35,92,103,60
4:09,1.02,15.92,86,103,61
4:10,1.02,15.71,83,103,62
4:11,1.03,16.42,93,103,61
4:12,1.03,16.07,88,103,61
4:13,1.04,17.83,115,104,61
4:14,1.04,17.83,115,104,61
4:15,1.05,17.95,117,104,62
4:16,1.05,16.42,93,104,67
4:17,1.06,16.49,94,104,65
4:18,1.06,16.89,100,105,64
4:19,1.07,16.89,100,106,63
4:20,1.07,16.56,95,107,64
4:21,1.08,16.49,94,107,63
4:22,1.08,16,87,108,62
4:23,1.08,15.56,81,109,61
4:24,1.09,15.92,86,109,61
4:25,1.09,16.14,89,109,61
4:26,1.1,15.85,85,109,61
