Stages_Data
Metric
Time,Kilometers,KPH,Watts,HR,RPM
0:01,0.00,18.05,37,105,35
0:02,0.00,18.05,37,105,35
0:03,0.01,18.48,39,105,47
0:04,0.02,24.04,73,106,55
0:05,0.02,20.77,51,106,69
0:06,0.03,19.69,45,107,73
0:07,0.03,21.59,56,107,75
0:08,0.04,22.65,63,107,76
0:09,0.05,20.77,51,107,80
0:10,0.05,19.50,44,107,79
0:11,0.06,18.90,41,107,78
0:12,0.06,22.22,60,107,77
0:13,0.07,23.23,67,107,78
0:14,0.08,21.74,57,106,79
0:15,0.08,19.88,46,106,79
0:16,0.09,23.63,70,106,76
0:17,0.09,23.09,66,106,75
0:18,0.10,22.36,61,106,75
0:19,0.11,25.05,81,106,77
0:20,0.11,25.29,83,107,81
0:21,0.12,22.80,64,107,83
0:22,0.13,21.59,56,107,83
0:23,0.13,20.24,48,108,83
0:24,0.14,20.04,47,107,81
0:25,0.14,21.59,56,107,81
0:26,0.15,21.91,58,106,81
0:27,0.16,22.36,61,106,82
0:28,0.16,22.51,62,106,82
0:29,0.17,22.51,62,106,83
0:30,0.17,21.43,55,106,82
0:31,0.18,22.22,60,107,83
0:32,0.19,21.09,53,106,83
0:33,0.19,20.24,48,106,83
0:34,0.20,20.24,48,106,82
0:35,0.20,19.30,43,106,81
0:36,0.21,20.77,51,106,80
0:37,0.22,22.22,60,106,80
0:38,0.22,20.41,49,106,81
0:39,0.23,18.90,41,106,81
0:40,0.23,21.43,55,107,79
0:41,0.24,19.30,43,107,82
0:42,0.24,23.49,69,108,83
0:43,0.25,26.21,91,109,84
0:44,0.26,25.63,86,109,84
0:45,0.27,25.63,86,109,82
0:46,0.27,27.40,102,110,82
0:47,0.28,27.51,103,111,84
0:48,0.29,26.77,96,112,85
0:49,0.30,26.66,95,112,85
0:50,0.30,27.40,102,113,85
0:51,0.31,25.52,85,113,85
0:52,0.32,26.44,93,113,86
0:53,0.33,27.29,101,114,87
0:54,0.33,27.19,100,115,86
0:55,0.34,28.22,110,115,86
0:56,0.35,28.11,109,116,87
0:57,0.36,28.03,108,116,87
0:58,0.36,26.44,93,116,85
0:59,0.37,27.19,100,115,86
1:00,0.38,26.55,94,115,85
1:01,0.39,25.52,85,115,85
1:02,0.39,27.51,103,115,86
1:03,0.40,27.40,102,115,85
1:04,0.41,28.03,108,114,87
1:05,0.42,27.29,101,114,86
1:06,0.42,25.41,84,114,86
1:07,0.43,24.67,78,114,85
1:08,0.44,25.05,81,114,84
1:09,0.44,26.21,91,113,82
1:10,0.45,26.44,93,113,82
1:11,0.46,26.44,93,113,82
1:12,0.47,26.87,97,113,83
1:13,0.47,26.77,96,113,83
1:14,0.48,27.29,101,113,83
1:15,0.49,25.99,89,113,84
1:16,0.50,25.63,86,113,83
1:17,0.50,26.77,96,112,83
1:18,0.51,27.40,102,112,84
1:19,0.52,27.71,105,112,84
1:20,0.53,26.98,98,112,84
1:21,0.53,27.29,101,113,85
1:22,0.54,27.29,101,113,85
1:23,0.55,26.32,92,113,83
1:24,0.56,25.99,89,113,82
1:25,0.56,28.03,108,113,83
1:26,0.57,26.32,92,113,83
1:27,0.58,26.44,93,114,83
1:28,0.59,26.66,95,114,83
1:29,0.59,26.66,95,114,83
1:30,0.60,27.40,102,114,83
1:31,0.61,26.87,97,113,83
1:32,0.62,26.98,98,113,82
1:33,0.62,27.08,99,114,81
1:34,0.63,27.29,101,114,83
1:35,0.64,27.71,105,114,84
1:36,0.65,27.08,99,114,85
1:37,0.65,26.87,97,115,83
1:38,0.66,27.08,99,115,83
1:39,0.67,27.40,102,115,84
1:40,0.68,27.08,99,115,83
1:41,0.68,27.40,102,116,84
1:42,0.69,26.32,92,116,83
1:43,0.70,25.87,88,116,81
1:44,0.71,25.87,88,116,81
1:45,0.71,25.87,88,115,79
1:46,0.72,25.41,84,115,79
1:47,0.73,26.21,91,115,80
1:48,0.74,27.08,99,116,81
1:49,0.74,26.98,98,116,82
1:50,0.75,27.19,100,116,82
1:51,0.76,26.77,96,116,82
1:52,0.77,26.77,96,116,82
1:53,0.77,26.98,98,115,82
1:54,0.78,26.87,97,115,83
1:55,0.79,27.29,101,115,82
