ticks,time,power,cadence,heartRate,speed,targetPower,targetHeartRateZone,targetCadence,targetRpe
1,0,0,0,102,0,83,1,90,0
2,2.757,15,0,99,0,83,1,90,0
3,3.758,15,0,89,0,83,1,90,0
4,4.841,42,3,89,68,83,1,90,0
5,5.95,57,57,90,86,83,1,90,0
6,8.105,57,57,90,86,83,1,90,0
7,9.107,80,78,93,108,83,1,90,0
8,10.108,77,77,94,105,83,1,90,0
9,11.142,73,74,94,101,83,1,90,0
10,12.146,70,71,95,98,83,1,90,0
11,13.146,70,70,96,98,83,1,90,0
12,14.146,66,70,96,95,83,1,90,0
13,15.147,69,71,95,97,83,1,90,0
14,16.149,80,77,96,108,83,1,90,0
15,17.151,79,78,97,107,83,1,90,0
16,18.242,80,78,99,108,83,1,90,0
17,20.182,84,80,101,111,83,1,90,0
18,23.39,100,89,104,123,83,1,90,0
19,24.389,104,87,111,126,83,1,90,0
20,25.39,105,92,112,126,83,1,90,0
21,26.391,103,90,113,125,83,1,90,0
22,27.391,98,89,114,122,83,1,90,0
23,28.442,97,88,115,121,83,1,90,0
24,29.446,97,88,116,121,83,1,90,0
25,30.447,96,88,117,120,83,1,90,0
26,31.45,100,89,117,123,83,1,90,0
27,32.451,98,89,117,122,83,1,90,0
28,33.544,95,87,117,119,83,1,90,0
29,34.544,94,86,117,119,83,1,90,0
30,35.553,97,88,117,121,83,1,90,0
31,36.554,99,89,118,122,83,1,90,0
32,37.557,100,89,117,123,83,1,90,0
33,38.557,100,90,117,123,83,1,90,0
34,39.558,98,89,117,122,83,1,90,0
35,41.322,100,87,117,123,83,1,90,0
36,42.66,105,93,117,126,83,1,90,0
37,43.661,102,89,117,124,83,1,90,0
38,44.746,92,91,117,117,83,1,90,0
39,45.746,90,96,118,115,83,1,90,0
40,46.746,90,96,118,115,83,1,90,0
41,47.747,87,92,119,113,83,1,90,0
42,48.749,84,92,119,111,83,1,90,0
43,49.844,87,92,119,113,83,1,90,0
44,50.845,87,91,119,113,83,1,90,0
45,51.847,83,90,120,110,83,1,90,0
46,52.949,84,90,121,111,83,1,90,0
47,53.951,82,90,122,109,83,1,90,0
48,54.952,81,89,122,108,83,1,90,0
49,55.954,81,89,122,108,83,1,90,0
50,56.955,81,89,122,108,83,1,90,0
51,58.043,79,88,121,107,83,1,90,0
52,59.052,79,88,120,107,83,1,90,0
53,60.054,80,89,120,108,83,1,90,0
54,61.187,80,88,120,108,83,1,90,0
55,62.466,77,87,119,105,83,1,90,0
56,63.467,77,85,118,104,83,1,90,0
57,64.468,77,85,117,104,83,1,90,0
58,65.543,78,87,116,106,83,1,90,0
59,66.544,88,93,116,114,83,1,90,0
60,67.545,88,92,116,114,83,1,90,0
61,68.547,87,92,116,113,83,1,90,0
62,69.548,83,90,115,110,83,1,90,0
63,70.548,82,90,115,109,83,1,90,0
64,71.551,83,90,115,110,83,1,90,0
65,72.553,84,91,115,111,83,1,90,0
66,73.557,82,91,115,109,83,1,90,0
67,74.642,80,88,114,108,83,1,90,0
68,75.643,81,88,114,108,83,1,90,0
69,76.647,84,91,113,111,83,1,90,0
70,77.647,86,92,112,112,83,1,90,0
71,78.648,83,89,112,110,83,1,90,0
72,79.651,81,89,112,108,83,1,90,0
73,81.095,86,91,112,112,83,1,90,0
74,82.501,85,92,112,111,83,1,90,0
75,83.504,83,90,112,110,83,1,90,0
76,84.543,79,88,113,107,83,1,90,0
77,85.544,79,88,115,107,83,1,90,0
78,86.544,81,91,114,108,83,1,90,0
79,87.545,87,92,113,113,83,1,90,0
80,88.545,83,90,113,110,83,1,90,0
81,89.548,81,89,114,108,83,1,90,0
82,90.552,83,90,114,110,83,1,90,0
83,91.553,87,93,114,113,83,1,90,0
84,92.554,89,92,114,115,83,1,90,0
85,93.554,82,90,113,109,83,1,90,0
86,94.555,80,88,113,108,83,1,90,0
87,95.644,80,88,113,108,83,1,90,0
88,96.644,81,89,112,108,83,1,90,0
89,97.647,82,90,113,109,83,1,90,0
90,98.648,85,91,112,111,83,1,90,0
91,99.648,85,91,112,111,83,1,90,0
92,101.099,86,91,112,112,83,1,90,0
93,102.378,83,90,111,110,83,1,90,0
94,103.381,84,91,112,111,83,1,90,0
95,104.382,81,89,112,108,83,1,90,0
96,105.382,82,88,112,109,83,1,90,0
97,106.384,82,88,112,109,83,1,90,0
98,107.448,81,89,111,108,83,1,90,0
99,108.449,80,88,111,108,83,1,90,0
100,109.453,80,88,111,108,83,1,90,0
101,110.542,80,87,111,108,83,1,90,0
102,111.543,82,89,112,109,83,1,90,0
103,112.543,80,89,114,108,83,1,90,0
104,113.546,83,90,115,110,83,1,90,0
105,114.547,86,92,115,112,83,1,90,0
106,115.548,86,92,116,112,83,1,90,0
107,116.552,82,89,116,109,83,1,90,0
108,117.552,83,90,116,110,83,1,90,0
109,118.553,83,90,117,110,83,1,90,0
110,119.555,83,90,117,110,83,1,90,0
111,121.106,81,89,117,108,83,1,90,0
112,122.402,77,86,117,105,83,1,90,0
113,123.403,79,89,116,107,83,1,90,0
114,124.447,85,91,115,111,83,1,90,0
115,125.45,86,91,114,112,83,1,90,0
116,126.451,82,90,113,109,83,1,90,0
117,127.453,80,89,113,108,83,1,90,0
118,128.455,84,91,112,111,83,1,90,0
119,129.548,84,91,113,111,83,1,90,0
120,130.548,83,90,113,110,83,1,90,0
121,131.552,81,89,112,108,83,1,90,0
122,132.648,80,88,112,108,83,1,90,0
123,133.65,80,88,112,108,83,1,90,0
124,134.651,79,88,112,107,83,1,90,0
125,135.652,80,88,112,108,83,1,90,0
126,136.655,84,91,113,111,83,1,90,0
127,137.745,84,91,114,111,83,1,90,0
128,138.746,83,90,115,110,83,1,90,0
129,139.751,82,90,116,109,83,1,90,0
130,141.134,81,89,117,108,83,1,90,0
131,142.493,80,89,117,108,83,1,90,0
132,143.495,79,87,116,107,83,1,90,0
133,144.497,79,87,115,107,83,1,90,0
134,145.498,78,87,113,106,83,1,90,0
135,146.499,79,87,112,107,83,1,90,0
136,147.545,80,88,111,108,83,1,90,0
137,148.549,79,88,110,107,83,1,90,0
138,149.549,78,87,109,106,83,1,90,0
139,150.55,78,86,108,106,91,2,90,0
140,151.551,88,94,107,114,91,2,90,0
141,152.553,88,93,106,114,91,2,90,0
142,153.553,84,88,107,111,91,2,90,0
143,154.648,76,85,108,104,91,2,90,0
144,155.648,85,91,108,111,91,2,90,0
145,156.651,88,93,109,114,91,2,90,0
146,157.779,86,93,110,112,91,2,90,0
147,158.779,89,93,110,115,91,2,90,0
148,159.78,85,91,111,111,91,2,90,0
149,161.166,84,89,112,111,91,2,90,0
150,162.454,80,91,113,108,91,2,90,0
151,163.455,88,82,113,114,91,2,90,0
152,164.546,93,86,113,118,91,2,90,0
153,165.547,95,87,114,119,91,2,90,0
154,166.551,95,87,114,119,91,2,90,0
155,167.647,94,86,115,119,91,2,90,0
156,168.651,93,86,115,118,91,2,90,0
157,169.652,100,87,115,123,91,2,90,0
158,170.655,104,92,115,126,91,2,90,0
159,171.655,104,92,115,126,91,2,90,0
160,172.751,100,90,115,123,91,2,90,0
161,173.752,99,89,115,122,91,2,90,0
162,174.753,99,89,116,122,91,2,90,0
163,175.854,103,91,117,125,91,2,90,0
164,176.856,104,89,119,126,91,2,90,0
165,177.857,98,88,119,122,91,2,90,0
166,178.952,99,89,119,122,91,2,90,0
167,179.952,99,89,119,122,91,2,90,0
168,181.127,102,89,119,124,91,2,90,0
169,182.41,98,88,120,122,91,2,90,0
170,183.412,94,86,120,119,91,2,90,0
171,184.446,95,87,120,119,91,2,90,0
172,185.447,97,87,120,121,91,2,90,0
173,186.45,108,94,120,129,91,2,90,0
174,187.454,110,92,120,129,91,2,90,0
175,188.455,103,91,120,125,91,2,90,0
176,189.458,104,91,121,126,91,2,90,0
177,190.55,107,93,121,128,91,2,90,0
178,191.55,106,92,122,127,91,2,90,0
179,192.551,108,94,123,129,91,2,90,0
180,193.656,105,93,123,126,91,2,90,0
181,194.657,105,92,123,126,91,2,90,0
182,195.658,104,92,122,126,91,2,90,0
183,196.746,102,90,120,124,91,2,90,0
184,197.747,100,89,120,123,91,2,90,0
185,198.749,102,90,118,124,91,2,90,0
186,200.167,99,89,118,122,91,2,90,0
187,201.617,99,89,117,122,91,2,90,0
188,202.927,97,89,117,121,91,2,90,0
189,203.927,103,90,114,125,91,2,90,0
190,204.928,97,89,112,121,91,2,90,0
191,205.93,97,88,113,121,91,2,90,0
192,206.932,97,88,113,121,91,2,90,0
193,207.933,106,93,114,127,91,2,90,0
194,208.937,104,92,115,126,91,2,90,0
195,209.939,104,91,116,126,91,2,90,0
196,210.953,100,91,117,123,91,2,90,0
197,211.952,98,89,117,122,91,2,90,0
198,212.952,99,88,118,122,91,2,90,0
199,214.05,102,91,118,124,91,2,90,0
200,215.051,102,90,119,124,91,2,90,0
201,216.051,97,89,119,121,91,2,90,0
202,217.053,97,88,119,121,91,2,90,0
203,218.054,97,88,119,121,91,2,90,0
204,219.056,102,90,119,124,91,2,90,0
205,220.144,100,89,119,123,91,2,90,0
206,221.146,95,87,118,119,91,2,90,0
207,222.343,97,87,118,121,91,2,90,0
208,223.349,97,89,119,121,91,2,90,0
209,224.354,103,90,119,125,91,2,90,0
210,225.354,99,89,119,122,91,2,90,0
211,226.358,102,91,119,124,91,2,90,0
212,227.358,99,89,118,122,91,2,90,0
213,228.362,100,89,118,123,91,2,90,0
214,229.362,99,89,119,122,91,2,90,0
215,230.371,103,90,119,125,91,2,90,0
216,231.448,105,92,120,126,91,2,90,0
217,232.448,104,92,120,126,91,2,90,0
218,233.451,110,94,121,129,91,2,90,0
219,234.544,108,94,122,129,91,2,90,0
220,235.55,111,94,122,130,91,2,90,0
221,236.551,114,97,123,133,91,2,90,0
222,237.56,111,95,124,130,91,2,90,0
223,238.56,110,95,124,129,91,2,90,0
224,239.653,106,92,124,127,91,2,90,0
225,241.098,106,92,125,127,124,3,90,0
226,242.406,107,94,124,128,124,3,90,0
227,243.406,122,84,124,137,124,3,90,0
228,244.407,138,93,125,147,124,3,90,0
229,245.446,138,94,124,147,124,3,90,0
230,246.446,129,91,124,142,124,3,90,0
231,247.449,124,89,125,139,124,3,90,0
232,248.456,127,89,125,140,124,3,90,0
233,249.457,138,93,125,147,124,3,90,0
234,250.458,136,93,126,146,124,3,90,0
235,251.459,135,93,126,145,124,3,90,0
236,252.549,132,91,127,144,124,3,90,0
237,253.549,136,93,127,146,124,3,90,0
238,254.552,138,94,127,147,124,3,90,0
239,255.551,133,92,128,144,124,3,90,0
240,256.556,129,91,129,142,124,3,90,0
241,257.556,127,90,129,140,124,3,90,0
242,258.557,126,89,129,140,124,3,90,0
243,259.653,136,91,129,146,124,3,90,0
244,261.15,136,93,129,146,124,3,90,0
245,262.39,131,92,128,143,124,3,90,0
246,263.391,129,91,129,142,124,3,90,0
247,264.392,131,91,128,143,124,3,90,0
248,265.393,133,92,127,144,124,3,90,0
249,266.394,133,92,126,144,124,3,90,0
250,267.447,128,91,126,141,124,3,90,0
251,268.447,128,90,125,141,124,3,90,0
252,269.449,128,90,125,141,124,3,90,0
253,270.449,124,89,125,139,124,3,90,0
254,271.449,122,88,126,137,124,3,90,0
255,272.449,123,88,126,138,124,3,90,0
256,273.453,124,88,126,139,124,3,90,0
257,274.454,124,88,126,139,124,3,90,0
258,275.456,123,88,126,138,124,3,90,0
259,276.554,129,90,127,142,124,3,90,0
260,277.555,135,93,127,145,124,3,90,0
261,278.556,131,91,127,143,124,3,90,0
262,279.647,131,90,128,143,124,3,90,0
263,281.14,131,91,128,143,124,3,90,0
264,282.426,126,89,128,140,124,3,90,0
265,283.43,128,90,127,141,124,3,90,0
266,284.43,129,89,127,142,124,3,90,0
267,285.452,136,92,127,146,124,3,90,0
268,286.453,135,92,126,145,124,3,90,0
269,287.456,129,91,126,142,124,3,90,0
270,288.553,129,90,126,142,124,3,90,0
271,289.554,128,90,126,141,124,3,90,0
272,290.554,126,89,127,140,124,3,90,0
273,291.646,127,89,128,140,124,3,90,0
274,292.65,132,91,129,144,124,3,90,0
275,293.653,132,92,130,144,124,3,90,0
276,294.653,128,90,131,141,124,3,90,0
277,295.654,126,89,132,140,124,3,90,0
278,296.656,123,88,132,138,124,3,90,0
279,297.657,127,88,132,140,124,3,90,0
280,298.658,127,89,132,140,124,3,90,0
281,299.658,124,88,132,139,124,3,90,0
282,301.185,123,88,132,138,124,3,90,0
283,302.462,123,88,131,138,124,3,90,0
284,303.463,126,89,130,140,124,3,90,0
285,304.55,127,90,129,140,124,3,90,0
286,305.55,128,90,129,141,124,3,90,0
287,306.55,128,89,130,141,124,3,90,0
288,307.552,128,90,130,141,124,3,90,0
289,308.552,126,90,130,140,124,3,90,0
290,309.552,124,89,130,139,124,3,90,0
291,310.552,126,89,130,140,124,3,90,0
292,311.553,135,92,130,145,124,3,90,0
293,312.553,133,93,131,144,124,3,90,0
294,313.554,129,91,131,142,124,3,90,0
295,314.557,129,90,131,142,124,3,90,0
296,315.557,129,90,132,142,157,3,80,0
297,316.557,129,90,132,142,157,3,80,0
298,317.557,129,90,133,142,157,3,80,0
299,318.558,308,89,132,217,157,3,80,0
300,319.562,142,81,132,149,157,3,80,0
301,321.095,160,84,133,159,157,3,80,0
302,322.357,161,87,133,159,157,3,80,0
303,323.359,156,86,133,157,157,3,80,0
304,324.446,158,86,133,158,157,3,80,0
305,325.447,158,86,134,158,157,3,80,0
306,326.448,161,87,134,159,157,3,80,0
307,327.449,161,87,135,159,157,3,80,0
308,328.45,156,86,135,157,157,3,80,0
309,329.452,155,85,135,156,157,3,80,0
310,330.452,163,87,136,160,157,3,80,0
311,331.454,160,87,136,159,157,3,80,0
312,332.456,160,87,135,159,157,3,80,0
313,333.456,163,88,135,160,157,3,80,0
314,334.457,166,87,135,162,157,3,80,0
315,335.457,166,89,135,162,157,3,80,0
316,336.458,169,88,135,163,132,3,100,0
317,337.559,167,88,135,162,132,3,100,0
318,338.56,146,110,135,151,132,3,100,0
319,339.561,131,104,136,143,132,3,100,0
320,341.22,127,102,135,140,132,3,100,0
321,342.494,117,99,135,134,132,3,100,0
322,343.497,117,98,135,134,132,3,100,0
323,344.553,122,100,135,137,132,3,100,0
324,345.553,119,99,135,136,132,3,100,0
325,346.554,118,98,136,135,132,3,100,0
326,347.554,114,97,136,133,132,3,100,0
327,348.557,113,96,137,132,132,3,100,0
328,349.557,111,95,137,130,132,3,100,0
329,350.558,111,95,138,130,132,3,100,0
330,351.566,105,93,138,126,132,3,100,0
331,352.568,104,92,138,126,132,3,100,0
332,353.649,104,92,138,126,132,3,100,0
333,354.65,107,92,137,128,132,3,100,0
334,355.651,106,93,136,127,132,3,100,0
