
Stage_Workout (min),Distance(mile),Speed (mph),Watts ,HR ,RPM 
0.1,0.014,8.24,20,0,97
0.2,0.024,4.99,9,0,55
0.3,0.031,9.82,28,0,111
0.4,0.051,12.68,49,0,111
0.5,0.074,15.17,76,0,110
0.6,0.101,17.83,115,0,109
0.7,0.134,19.70,149,0,103
0.8,0.165,17.89,116,0,91
0.9,0.196,19.70,149,0,105
1.0,0.229,19.70,149,0,103
1.1,0.262,20.43,164,0,109
1.2,0.296,19.95,154,0,105
1.3,0.329,20.29,161,0,106
1.4,0.362,19.90,153,0,107
1.5,0.395,19.12,138,0,105
1.6,0.427,18.91,134,0,102
1.7,0.458,19.02,136,0,106
1.8,0.489,18.80,132,0,104
1.9,0.520,18.53,127,0,107
2.0,0.553,20.15,158,0,108
2.1,0.587,20.34,162,0,108
2.2,0.620,20.24,160,0,106
2.3,0.652,18.41,125,0,105
2.4,0.684,19.39,143,0,107
2.5,0.717,19.75,150,0,105
2.6,0.749,19.28,141,0,108
2.7,0.782,19.39,143,0,105
2.8,0.814,19.44,144,0,105
2.9,0.846,18.75,131,0,104
3.0,0.878,20.24,160,0,106
3.1,0.911,19.80,151,0,104
3.2,0.945,20.63,168,0,106
3.3,0.978,19.39,143,0,107
3.4,1.010,18.35,124,0,104
3.5,1.042,19.44,144,0,109
3.6,1.074,19.28,141,0,111
3.7,1.106,19.12,138,0,107
3.8,1.137,18.91,134,0,104
3.9,1.169,19.23,140,0,107
4.0,1.201,18.80,132,0,108
4.1,1.232,18.35,124,0,104
4.2,1.263,18.46,126,0,103
4.3,1.294,18.80,132,0,105
4.4,1.326,19.28,141,0,103
4.5,1.358,18.80,132,0,104
4.6,1.390,19.70,149,0,113
4.7,1.424,19.39,143,0,105
4.8,1.455,18.75,131,0,102
4.9,1.487,19.18,139,0,107
5.0,1.518,18.41,125,0,104
5.1,1.549,19.39,143,0,110
5.2,1.583,20.63,168,0,106
5.3,1.617,20.24,160,0,105
5.4,1.650,19.90,153,0,106
5.5,1.683,20.19,159,0,107
5.6,1.716,19.90,153,0,106
5.7,1.748,19.70,149,0,113
5.8,1.781,20.00,155,0,107
5.9,1.815,20.54,166,0,106
6.0,1.849,20.10,157,0,105
6.1,1.882,20.05,156,0,109
6.2,1.915,19.55,146,0,109
6.3,1.948,19.60,147,0,109
6.4,1.981,20.24,160,0,114
6.5,2.014,19.70,149,0,109
6.6,2.048,20.63,168,0,110
6.7,2.081,19.39,143,0,109
6.8,2.114,19.75,150,0,107
6.9,2.147,18.91,134,0,118
7.0,2.177,16.95,101,0,114
7.1,2.205,16.89,100,0,109
7.2,2.235,18.91,134,0,109
7.3,2.267,18.91,134,0,110
7.4,2.298,18.35,124,0,112
7.5,2.328,17.71,113,0,113
7.6,2.359,19.28,141,0,114
7.7,2.392,20.15,158,0,113
7.8,2.426,20.68,169,0,110
7.9,2.460,20.95,175,0,112
8.0,2.494,19.80,151,0,108
8.1,2.528,20.54,166,0,114
8.2,2.562,20.15,158,0,111
8.3,2.596,19.75,150,0,113
8.4,2.629,20.77,171,0,106
8.5,2.664,20.95,175,0,111
8.6,2.699,20.19,159,0,107
8.7,2.731,19.02,136,0,111
8.8,2.763,19.18,139,0,104
8.9,2.795,19.80,151,0,106
9.0,2.828,19.60,147,0,107
9.1,2.860,18.41,125,0,97
9.2,2.891,19.65,148,0,106
9.3,2.924,20.15,158,0,111
9.4,2.957,20.43,164,0,111
9.5,2.992,20.82,172,0,114
9.6,3.026,19.80,151,0,109
9.7,3.059,20.38,163,0,107
9.8,3.094,20.82,172,0,111
9.9,3.127,19.80,151,0,111
10.0,3.161,20.29,161,0,111
10.1,3.194,19.90,153,0,110
10.2,3.227,19.65,148,0,108
10.3,3.259,19.60,147,0,111
10.4,3.292,19.80,151,0,111
10.5,3.325,19.28,141,0,107
10.6,3.357,19.55,146,0,107
10.7,3.392,21.04,177,0,109
10.8,3.427,21.04,177,0,110
10.9,3.463,21.88,196,0,110
11.0,3.497,20.85,173,0,110
11.1,3.531,19.95,154,0,113
11.2,3.565,20.68,169,0,111
11.3,3.599,20.85,173,0,110
11.4,3.633,19.65,148,0,109
11.5,3.667,21.04,177,0,111
11.6,3.701,20.24,160,0,110
11.7,3.734,20.15,158,0,110
11.8,3.769,21.13,179,0,111
11.9,3.804,20.05,156,0,109
12.0,3.838,20.43,164,0,113
12.1,3.873,20.63,168,0,113
12.2,3.906,19.65,148,0,114
12.3,3.940,21.27,182,0,114
12.4,3.974,19.90,153,0,111
12.5,4.008,20.90,174,0,113
12.6,4.044,20.72,170,0,113
12.7,4.078,20.90,174,0,113
12.8,4.113,21.04,177,0,115
12.9,4.149,21.04,177,0,111
13.0,4.184,20.82,172,0,111
13.1,4.218,20.24,160,0,113
13.2,4.252,21.32,183,0,110
13.3,4.286,20.15,158,0,106
13.4,4.319,20.05,156,0,111
13.5,4.353,19.95,154,0,113
13.6,4.387,20.54,166,0,113
13.7,4.421,20.68,169,0,112
13.8,4.454,19.85,152,0,113
13.9,4.487,19.07,137,0,110
14.0,4.520,20.29,161,0,110
14.1,4.554,20.24,160,0,112
14.2,4.587,20.10,157,0,114
14.3,4.622,21.27,182,0,116
14.4,4.658,20.90,174,0,112
14.5,4.692,19.70,149,0,109
14.6,4.726,20.63,168,0,112
14.7,4.759,20.43,164,0,110
14.8,4.793,20.00,155,0,114
14.9,4.827,20.58,167,0,116
15.0,4.861,20.49,165,0,114
15.1,4.895,20.29,161,0,113
15.2,4.929,20.29,161,0,115
15.3,4.963,20.82,172,0,115
15.4,4.997,19.75,150,0,115
15.5,5.030,19.90,153,0,114
15.6,5.063,20.24,160,0,112
15.7,5.098,20.54,166,0,119
15.8,5.132,20.72,170,0,117
15.9,5.167,21.18,180,0,115
16.0,5.203,20.77,171,0,114
16.1,5.238,21.71,192,0,116
16.2,5.274,21.79,194,0,117
16.3,5.309,19.90,153,0,112
16.4,5.342,20.24,160,0,116
16.5,5.375,20.24,160,0,116
16.6,5.408,20.38,163,0,116
16.7,5.444,21.79,194,0,116
16.8,5.478,20.29,161,0,117
16.9,5.513,21.79,194,0,116
17.0,5.549,21.04,177,0,110
17.1,5.582,18.12,120,0,114
17.2,5.610,16.28,91,0,115
17.3,5.637,17.09,103,0,116
17.4,5.665,17.59,111,0,115
17.5,5.695,17.83,115,0,112
17.6,5.724,16.76,98,0,113
17.7,5.753,17.83,115,0,116
17.8,5.783,18.91,134,0,115
17.9,5.813,17.21,105,0,113
18.0,5.843,17.21,105,0,113
18.1,5.874,19.34,142,0,111
18.2,5.906,19.34,142,0,112
18.3,5.938,19.55,146,0,117
18.4,5.968,17.28,106,0,113
18.5,5.998,18.91,134,0,113
18.6,6.031,19.07,137,0,113
18.7,6.061,17.71,113,0,113
18.8,6.090,17.71,113,0,106
18.9,6.122,19.39,143,0,114
19.0,6.152,17.09,103,0,111
19.1,6.180,16.89,100,0,107
19.2,6.208,16.42,93,0,104
