
Stage_Workout (min),Distance(km),Speed(km/h),Watts ,HR ,RPM 
0.1,0.026,18.69,40,120,84
0.2,0.059,20.04,47,122,82
0.3,0.093,20.41,49,121,85
0.4,0.128,22.22,60,125,85
0.5,0.172,23.49,69,123,83
0.6,0.208,20.59,50,122,87
0.7,0.242,20.24,48,126,94
0.8,0.276,21.27,54,122,95
0.9,0.311,21.27,54,122,90
1.0,0.349,24.29,75,122,90
1.1,0.388,23.78,71,125,87
1.2,0.430,26.87,97,122,83
1.3,0.476,27.92,107,121,84
1.4,0.524,29.91,128,121,93
1.5,0.575,30.70,137,124,95
1.6,0.627,31.14,142,128,95
1.7,0.679,31.14,142,130,96
1.8,0.731,31.22,143,131,96
1.9,0.783,31.30,144,130,98
2.0,0.835,30.36,133,131,93
2.1,0.887,31.56,147,131,96
2.2,0.939,31.30,144,134,96
2.3,0.991,31.30,144,135,95
2.4,1.043,31.64,148,135,95
2.5,1.096,31.40,145,134,95
2.6,1.148,30.45,134,134,93
2.7,1.198,30.53,135,134,93
2.8,1.249,30.36,133,133,94
2.9,1.301,31.22,143,133,96
3.0,1.353,31.04,141,133,95
3.1,1.404,30.53,135,135,95
3.2,1.455,31.48,146,134,96
3.3,1.508,31.56,147,135,96
3.4,1.560,30.62,136,134,93
3.5,1.611,30.53,135,131,95
3.6,1.661,30.62,136,132,97
3.7,1.713,31.56,147,131,95
3.8,1.765,31.64,148,134,96
3.9,1.818,31.64,148,135,95
4.0,1.871,31.64,148,135,96
4.1,1.923,30.36,133,135,94
4.2,1.974,31.64,148,134,96
4.3,2.026,30.09,130,133,93
4.4,2.075,29.09,119,135,89
4.5,2.125,29.17,120,137,89
4.6,2.171,27.61,104,143,84
4.7,2.219,27.92,107,144,83
4.8,2.266,28.51,113,145,80
4.9,2.315,29.83,127,144,92
5.0,2.365,29.91,128,143,93
5.1,2.415,30.01,129,140,91
5.2,2.466,31.30,144,137,98
5.3,2.518,31.30,144,137,97
5.4,2.571,31.22,143,137,91
5.5,2.623,31.56,147,135,96
5.6,2.675,32.20,155,136,107
5.7,2.730,33.36,170,137,105
5.8,2.785,33.29,169,140,108
5.9,2.841,32.99,165,140,105
6.0,2.896,32.20,155,141,104
6.1,2.950,32.28,156,141,95
6.2,2.999,33.73,175,142,69
6.3,3.060,37.79,236,144,68
6.4,3.121,37.24,227,147,67
6.5,3.183,37.42,230,147,66
6.6,3.246,37.79,236,146,67
6.7,3.316,41.97,313,146,68
6.8,3.377,34.02,179,146,65
6.9,3.436,36.08,209,146,67
7.0,3.496,35.08,194,146,67
7.1,3.556,35.69,203,147,66
7.2,3.616,36.16,210,148,68
7.3,3.676,35.82,205,149,67
7.4,3.736,35.95,207,150,65
7.5,3.796,36.08,209,151,66
7.6,3.857,36.35,213,153,67
7.7,3.917,35.90,206,153,67
7.8,3.977,35.90,206,152,65
7.9,4.037,35.90,206,152,66
8.0,4.098,36.16,210,152,68
8.1,4.161,39.24,261,153,65
8.2,4.222,35.42,199,153,64
8.3,4.282,36.08,209,153,64
8.4,4.343,36.29,212,152,65
8.5,4.404,35.50,200,152,63
8.6,4.464,35.42,199,151,64
8.7,4.524,35.90,206,152,62
8.8,4.584,35.90,206,151,63
8.9,4.645,36.79,220,150,66
9.0,4.705,35.90,206,150,66
9.2,4.825,34.68,188,150,65
9.3,4.885,35.95,207,151,66
9.4,4.945,35.76,204,150,66
9.5,5.005,36.35,213,149,66
9.6,5.065,35.76,204,147,63
9.7,5.126,36.42,214,146,65
9.8,5.191,35.90,206,148,63
9.9,5.251,35.90,206,149,65
10.0,5.311,36.08,209,149,65
10.1,5.372,36.74,219,149,66
10.2,5.433,35.50,200,149,63
10.3,5.494,36.16,210,148,65
10.4,5.552,35.42,199,148,65
10.5,5.612,36.42,214,149,65
10.6,5.673,36.23,211,150,64
10.7,5.733,36.66,218,151,67
10.8,5.793,36.66,218,152,67
10.9,5.854,35.69,203,152,64
11.0,5.906,30.09,130,151,54
11.1,5.965,36.92,222,152,62
11.2,6.035,43.65,349,152,68
11.3,6.101,38.95,256,152,65
11.4,6.166,38.61,250,153,65
11.5,6.230,38.32,245,153,65
11.6,6.293,38.61,250,154,66
11.7,6.357,37.67,234,153,65
11.8,6.416,32.67,161,154,53
11.9,6.477,36.98,223,152,64
12.0,6.540,37.90,238,152,66
12.1,6.604,38.43,247,153,63
12.2,6.667,38.08,241,154,65
12.3,6.730,37.79,236,155,65
