ticks,time,power,cadence,heartRate,speed,targetPower,targetHeartRateZone,targetCadence,targetRpe
1,0,0,0,76,0,108,1,80,0
2,0.133,0,0,70,0,108,1,80,0
3,1.133,0,0,70,0,108,1,80,0
4,2.137,0,0,70,0,108,1,80,0
5,3.137,0,0,72,0,108,1,80,0
6,4.151,0,0,74,9,108,1,80,0
7,5.22,0,0,75,9,108,1,80,0
8,6.22,0,0,75,9,108,1,80,0
9,7.221,27,0,74,9,108,1,80,0
10,8.233,27,0,74,27,108,1,80,0
11,9.234,0,0,75,27,108,1,80,0
12,10.235,43,0,75,21,108,1,80,0
13,11.332,43,0,76,21,108,1,80,0
14,12.333,43,0,79,21,108,1,80,0
15,13.335,43,0,80,78,108,1,80,0
16,14.336,0,0,80,78,108,1,80,0
17,15.337,0,0,80,78,108,1,80,0
18,16.338,0,0,79,78,108,1,80,0
19,17.339,0,0,77,78,108,1,80,0
20,18.432,0,0,77,78,108,1,80,0
21,19.433,0,0,77,78,108,1,80,0
22,20.434,0,0,77,78,108,1,80,0
23,21.434,0,0,77,78,108,1,80,0
24,22.438,357,0,78,78,108,1,80,0
25,23.532,108,0,80,98,108,1,80,0
26,24.533,199,0,82,98,108,1,80,0
27,25.533,199,46,85,98,108,1,80,0
28,26.533,199,50,86,113,108,1,80,0
29,27.533,199,50,89,113,108,1,80,0
30,28.533,199,60,92,113,108,1,80,0
31,29.534,55,59,93,119,108,1,80,0
32,30.534,95,63,95,119,108,1,80,0
33,31.535,95,64,97,122,108,1,80,0
34,32.539,95,64,97,122,108,1,80,0
35,33.632,70,65,97,125,108,1,80,0
36,34.632,70,66,96,125,108,1,80,0
37,35.632,70,67,95,125,108,1,80,0
38,36.632,79,66,95,126,108,1,80,0
39,37.632,79,68,95,126,108,1,80,0
40,38.633,79,68,95,126,108,1,80,0
41,39.633,85,69,97,132,108,1,80,0
42,40.633,83,70,98,132,108,1,80,0
43,41.633,83,69,99,132,108,1,80,0
44,42.634,80,67,100,132,108,1,80,0
