
Stage_Workout (min),Distance(km),Speed(km/h),Watts ,HR ,RPM 
0.1,0.023,14.31,23,0,104
0.2,0.048,14.63,24,78,105
0.3,0.072,14.63,24,80,103
0.4,0.099,15.54,27,80,104
0.5,0.124,15.81,28,77,109
0.6,0.151,14.94,25,79,103
0.7,0.175,14.94,25,75,109
0.8,0.201,14.31,23,79,103
0.9,0.226,15.54,27,83,110
1.0,0.254,16.62,31,84,115
1.1,0.280,15.81,28,91,115
1.2,0.308,16.87,32,85,129
1.3,0.337,17.60,35,92,127
1.4,0.367,18.27,38,94,121
1.5,0.397,17.11,33,93,122
1.6,0.430,17.60,35,96,116
1.7,0.458,17.60,35,95,117
1.8,0.487,17.60,35,95,119
1.9,0.515,16.62,31,94,120
2.0,0.556,28.61,114,93,119
2.1,0.591,16.62,31,93,113
2.2,0.617,15.54,27,0,113
2.3,0.643,15.81,28,0,115
2.4,0.669,15.81,28,0,117
2.5,0.695,15.54,27,0,109
2.6,0.721,15.54,27,0,109
2.7,0.747,15.54,27,0,112
2.8,0.773,15.54,27,0,108
2.9,0.799,15.54,27,0,108
3.0,0.825,15.54,27,0,109
3.1,0.850,15.54,27,0,108
3.2,0.876,15.54,27,0,107
3.3,0.902,15.54,27,0,110
3.4,0.928,15.81,28,76,116
3.5,0.955,15.81,28,84,121
3.6,0.981,15.54,27,88,114
3.7,1.007,15.54,27,88,111
3.8,1.033,15.54,27,0,111
3.9,1.059,15.54,27,86,111
4.0,1.085,15.81,28,87,117
4.1,1.111,15.81,28,87,116
4.2,1.137,15.81,28,88,116
4.3,1.164,15.81,28,89,116
4.4,1.190,15.81,28,90,116
4.5,1.219,22.06,59,93,118
4.6,1.264,32.59,160,93,117
4.7,1.322,35.42,199,99,117
4.8,1.381,33.52,172,101,114
4.9,1.426,25.99,89,103,117
5.0,1.469,25.29,83,102,118
5.1,1.510,24.04,73,97,108
5.2,1.550,24.29,75,94,110
5.3,1.591,23.49,69,90,98
5.4,1.629,23.09,66,90,89
5.5,1.670,28.61,114,97,87
5.6,1.719,29.17,120,110,89
5.7,1.767,28.90,117,119,87
5.8,1.816,28.90,117,126,84
5.9,1.867,32.51,159,130,105
6.0,1.921,32.59,160,130,101
6.1,1.975,32.44,158,126,102
6.2,2.031,36.74,219,122,102
6.3,2.087,30.62,136,121,87
6.4,2.136,28.61,114,126,87
6.5,2.186,32.99,165,131,89
6.6,2.245,34.95,192,133,85
6.7,2.295,29.09,119,136,90
6.8,2.345,33.65,174,141,86
6.9,2.406,36.08,209,144,86
7.0,2.467,36.03,208,145,85
7.1,2.527,35.82,205,146,87
7.2,2.588,36.23,211,147,88
7.3,2.648,37.24,227,149,86
7.4,2.710,36.74,219,152,87
7.5,2.772,38.21,243,153,97
Stage_01_Total,
Stage distance (km),2.824,
Speed Max (km/h),39.46,
Watts Max,265
HR Max,153
RPM Max,130
KCal,42
7.6,2.834,34.24,182,151,102
7.7,2.888,32.75,162,149,101
7.8,2.942,32.04,153,140,99
7.9,3.002,36.74,219,132,99
8.0,3.064,36.42,214,132,92
8.1,3.119,32.12,154,132,76
8.2,3.177,34.87,191,129,73
8.3,3.234,34.52,186,126,72
8.4,3.291,34.24,182,126,70
8.5,3.348,34.68,188,123,76
8.6,3.406,33.65,174,126,67
8.7,3.461,32.81,163,127,67
8.8,3.516,33.13,167,132,69
8.9,3.571,33.95,178,134,74
9.0,3.627,32.89,164,128,68
9.1,3.684,34.52,186,131,66
9.2,3.743,35.42,199,138,67
9.3,3.802,35.76,204,141,67
9.4,3.861,35.63,202,139,70
9.5,3.918,34.73,189,133,72
9.6,3.975,35.28,197,134,68
9.7,4.035,35.63,202,137,63
9.8,4.096,37.24,227,141,69
9.9,4.158,36.42,214,139,65
10.0,4.219,36.74,219,138,64
10.1,4.283,37.67,234,138,67
10.2,4.346,38.72,252,139,66
10.3,4.408,36.61,217,141,60
10.4,4.468,36.74,219,143,65
10.5,4.529,36.92,222,143,63
10.6,4.590,35.69,203,143,61
10.7,4.651,38.03,240,143,66
10.8,4.717,41.72,308,143,86
10.9,4.779,32.36,157,143,93
11.0,4.834,33.57,173,142,96
Stage_02_Total,
Stage distance (km),2.046,
Speed Max (km/h),43.78,
Watts Max,352
HR Max,152
RPM Max,104
KCal,48
11.1,4.889,33.52,172,141,97
11.2,4.944,34.87,191,136,85
11.3,5.006,37.55,232,135,79
11.4,5.069,37.24,227,134,78
11.5,5.131,37.55,232,134,75
11.6,5.197,41.26,299,132,74
11.7,5.264,40.33,281,131,72
11.8,5.331,40.70,288,131,74
11.9,5.397,39.46,265,131,68
12.0,5.461,38.08,241,133,71
12.1,5.529,43.28,341,135,64
12.2,5.602,43.20,339,136,63
12.3,5.674,42.97,334,138,66
12.4,5.745,43.00,335,142,71
12.5,5.817,42.10,316,145,69
12.6,5.892,46.77,425,149,68
12.7,5.971,46.88,428,153,64
12.8,6.049,47.70,450,157,70
12.9,6.127,45.72,398,158,67
13.0,6.202,44.08,359,158,66
13.1,6.276,44.90,378,157,67
13.2,6.351,44.82,376,156,67
13.3,6.426,45.06,382,157,68
13.4,6.500,44.60,371,158,65
13.5,6.576,47.58,447,160,70
13.6,6.656,48.61,476,162,69
13.7,6.735,47.48,444,164,67
13.8,6.815,47.77,452,165,68
13.9,6.893,46.51,418,166,67
14.0,6.971,46.82,426,166,63
14.1,7.046,44.44,367,166,84
14.2,7.112,34.45,185,154,97
14.3,7.168,32.81,163,154,94
Stage_03_Total,
Stage distance (km),2.325,
Speed Max (km/h),49.20,
Watts Max,494
HR Max,166
RPM Max,100
KCal,78
14.4,7.223,32.59,160,154,94
14.5,7.276,33.29,169,155,100
14.6,7.332,32.36,157,150,94
14.7,7.388,33.13,167,146,91
14.8,7.440,29.83,127,143,88
14.9,7.491,31.72,149,138,95
15.0,7.549,39.19,260,134,93
15.1,7.612,35.42,199,128,73
15.2,7.670,35.02,193,123,70
15.3,7.728,34.33,183,123,69
15.4,7.785,34.10,180,120,69
15.5,7.844,37.85,237,119,70
15.6,7.907,37.79,236,119,70
15.7,7.970,37.90,238,118,69
15.8,8.032,37.05,224,119,65
15.9,8.097,40.80,290,120,64
16.0,8.161,37.48,231,121,64
16.1,8.223,37.37,229,122,65
16.2,8.288,41.51,304,124,63
16.3,8.359,42.97,334,124,65
16.4,8.432,43.20,339,128,62
16.5,8.503,42.15,317,130,56
16.6,8.578,45.14,384,131,64
16.7,8.650,42.86,332,135,62
16.8,8.725,45.24,386,141,55
16.9,8.799,45.64,396,145,57
17.0,8.873,44.69,373,145,57
17.1,8.946,44.65,372,147,57
17.2,9.021,44.52,369,151,57
17.3,9.096,45.97,404,153,58
17.4,9.170,45.56,394,154,55
17.5,9.246,45.72,398,156,58
17.6,9.321,44.18,361,157,50
17.7,9.395,45.64,396,158,56
17.8,9.475,46.66,422,160,54
17.9,9.554,46.27,412,162,50
18.0,9.633,50.75,543,164,52
18.1,9.709,42.15,317,165,46
18.2,9.782,45.72,398,165,54
18.3,9.856,43.28,341,166,49
18.4,9.931,44.26,363,166,48
18.5,10.004,43.55,347,166,51
18.6,10.079,43.95,356,167,90
18.7,10.140,31.40,145,149,88
18.8,10.193,32.75,162,143,90
Stage_04_Total,
Stage distance (km),3.025,
Speed Max (km/h),50.75,
Watts Max,543
HR Max,167
RPM Max,102
KCal,93
18.9,10.248,33.65,174,153,105
19.0,10.302,27.40,102,155,109
19.1,10.344,25.63,86,153,119
19.2,10.389,27.82,106,146,120
19.3,10.434,26.32,92,143,123
19.4,10.476,25.29,83,136,131
19.5,10.518,25.29,83,136,139
19.6,10.560,25.29,83,135,140
19.7,10.603,25.41,84,134,154
19.8,10.646,25.87,88,139,174
19.9,10.689,25.87,88,146,165
20.0,10.732,25.87,88,151,165
20.1,10.775,25.87,88,156,167
20.2,10.818,25.29,83,158,134
20.3,10.864,29.54,124,155,124
20.4,10.910,23.36,68,147,122
20.5,10.944,20.04,47,142,123
20.6,10.979,21.59,56,139,138
20.7,11.021,26.10,90,136,132
20.8,11.065,26.32,92,139,162
20.9,11.109,26.32,92,144,162
21.0,11.154,26.98,98,150,156
21.1,11.200,27.82,106,154,160
21.2,11.245,26.98,98,155,134
21.3,11.288,24.92,80,153,118
21.4,11.330,25.87,88,146,126
21.5,11.374,26.44,93,142,126
21.6,11.418,26.66,95,139,163
21.7,11.463,26.77,96,143,159
21.8,11.508,26.98,98,148,158
21.9,11.553,27.29,101,152,156
22.0,11.599,27.08,99,155,155
22.1,11.643,27.08,99,156,157
22.2,11.688,26.87,97,158,152
22.3,11.733,25.52,85,157,118
22.4,11.782,33.36,170,152,111
22.5,11.838,33.73,175,151,107
Stage_05_Total,
Stage distance (km),1.646,
Speed Max (km/h),50.75,
Watts Max,203
HR Max,159
RPM Max,175
KCal,25
22.6,11.894,32.99,165,145,102
22.7,11.949,33.21,168,142,103
22.8,12.003,35.28,197,142,81
22.9,12.058,31.40,145,140,71
23.0,12.112,31.30,144,138,67
23.1,12.164,30.96,140,140,67
23.2,12.215,30.78,138,146,69
23.3,12.269,32.81,163,150,71
23.4,12.323,32.12,154,152,73
23.5,12.382,36.87,221,149,75
23.6,12.444,36.87,221,148,73
23.7,12.505,36.61,217,149,74
23.8,12.564,34.87,191,152,72
23.9,12.623,35.63,202,158,71
24.0,12.682,35.28,197,163,72
24.1,12.741,35.76,204,164,68
24.2,12.798,34.68,188,163,73
24.3,12.857,34.45,185,162,72
24.4,12.916,35.36,198,157,71
24.5,12.980,42.10,316,155,67
24.6,13.044,37.17,226,154,64
24.7,13.103,35.36,198,152,60
24.8,13.163,37.67,234,154,70
24.9,13.227,39.19,260,157,68
25.0,13.293,40.01,275,158,71
25.1,13.360,39.73,270,158,70
25.2,13.421,34.87,191,156,64
25.3,13.484,38.03,240,158,63
25.4,13.545,37.29,228,160,66
25.5,13.607,37.55,232,160,67
25.6,13.669,38.95,256,159,67
25.7,13.732,38.78,253,158,67
25.8,13.796,38.61,250,155,81
25.9,13.856,35.76,204,147,81
26.0,13.913,33.73,175,148,77
26.1,13.969,33.73,175,148,76
Stage_06_Total,
Stage distance (km),2.132,
Speed Max (km/h),50.75,
Watts Max,368
HR Max,164
RPM Max,108
KCal,52
26.2,14.026,34.87,191,149,80
26.3,14.083,34.33,183,147,83
26.4,14.141,34.52,186,143,83
26.5,14.200,36.92,222,139,86
26.6,14.262,37.05,224,136,87
26.7,14.323,37.17,226,133,92
26.8,14.388,40.59,286,137,75
26.9,14.455,39.57,267,137,72
27.0,14.519,38.61,250,135,71
27.1,14.584,38.61,250,136,68
27.2,14.648,40.01,275,133,64
27.3,14.715,40.85,291,134,66
