ticks,videoTimestamp,targetPower4dpType,intervalId,timeOfDayTimestamp,distanceMeters,speedVirtualMps,distanceVirtualMeters,workoutPosition,powerMatchOffset,cadence,speed,heartRate,power,distanceSensorMeters,trainerPower,time,targetPower,targetHeartRateZone,targetCadence,targetRpe,secondsSinceStart,grade,speedSensorMps,leftPower,rightPower
0,0.066666,twentyMin,1,1635598619313,,0,0,0,NaN,1,NaN,93,0,NaN,0,0.057,145,1,90,2,3337,NaN,NaN,NaN,NaN
1,0.637033,twentyMin,1,1635598619998,,0,0,612.4000000357628,NaN,1,NaN,93,0,NaN,0,1.102,145,1,90,2,3338,NaN,NaN,NaN,NaN
2,1.449581,twentyMin,1,1635598620812,,0,0,1414.5,NaN,1,NaN,91,0,NaN,0,2.030,145,1,90,2,3339,NaN,NaN,NaN,NaN
3,2.591451,twentyMin,1,1635598621953,,0,0,2608.699999988079,NaN,1,NaN,90,0,NaN,0,2.968,145,1,90,2,3340,NaN,NaN,NaN,NaN
4,3.822836,twentyMin,1,1635598623184,,0,0,3801.5,NaN,1,NaN,89,0,NaN,0,4.219,145,1,90,2,3341,NaN,NaN,NaN,NaN
5,4.449715,twentyMin,1,1635598623812,,0,0,4400.800000011921,NaN,1,NaN,88,0,NaN,0,5.103,145,1,90,2,3342,NaN,NaN,NaN,NaN
6,5.566221,twentyMin,1,1635598624928,,0,0,5602.600000023842,NaN,1,NaN,88,0,NaN,0,5.943,145,1,90,2,3343,NaN,NaN,NaN,NaN
7,6.541589,twentyMin,1,1635598625903,,0,0,6502.400000035763,NaN,1,NaN,93,0,NaN,0,6.898,145,1,90,2,3362,NaN,NaN,NaN,NaN
8,7.681649,twentyMin,1,1635598645387,,0,0,7705.400000035763,NaN,1,NaN,95,0,NaN,0,8.000,145,1,90,2,3363,NaN,NaN,NaN,NaN
9,8.381321,twentyMin,1,1635598646087,,0,0,8404.400000035763,NaN,1,NaN,94,0,NaN,0,8.944,145,1,90,2,3364,NaN,NaN,NaN,NaN
10,9.389253,twentyMin,1,1635598647095,,0,0,9413.800000011921,NaN,1,NaN,95,0,NaN,0,10.092,145,1,90,2,3365,NaN,NaN,NaN,NaN
11,10.854744,twentyMin,1,1635598648560,,0,0,10914.5,NaN,1,NaN,94,0,NaN,0,11.045,145,1,90,2,3366,NaN,NaN,NaN,NaN
12,11.583272,twentyMin,1,1635598649289,,0,0,11609.900000035763,NaN,0,NaN,93,0,NaN,0,12.026,145,1,90,2,3367,NaN,NaN,NaN,NaN
13,12.603676,twentyMin,1,1635598650309,0.76,0.742,0,12613.100000023842,NaN,0,17,93,25,NaN,25,13.174,145,1,90,2,3368,NaN,NaN,NaN,NaN
14,13.811452,twentyMin,1,1635598651517,1.52,1.291,0.742,13803.400000035763,NaN,1,17,95,54,NaN,54,14.183,145,1,90,2,3369,NaN,NaN,NaN,NaN
15,14.864159,twentyMin,1,1635598652570,2.82,1.96,2.033,14913.199999988079,NaN,1,29,95,105,NaN,105,15.117,145,1,90,2,3370,NaN,NaN,NaN,NaN
16,15.355055,twentyMin,1,1635598653061,4.83,2.549,3.994,15410.600000023842,NaN,1,45,97,131,NaN,131,15.937,145,1,90,2,3371,NaN,NaN,NaN,NaN
17,16.354851,twentyMin,1,1635598654062,7.47,3.026,6.543,16411.30000001192,NaN,66,59,99,136,NaN,136,16.999,145,1,90,2,3372,NaN,NaN,NaN,NaN
18,17.604352,twentyMin,1,1635598655310,10.59,3.454,9.569,17613.5,NaN,72,70,100,146,NaN,146,17.919,145,1,90,2,3373,NaN,NaN,NaN,NaN
19,18.479035,twentyMin,1,1635598656184,14.17,3.819,13.022,18515.19999998808,NaN,74,80,101,146,NaN,146,19.073,145,1,90,2,3374,NaN,NaN,NaN,NaN
20,19.710362,twentyMin,1,1635598657416,18.06,4.138,16.841,19712,NaN,76,87,102,146,NaN,146,20.066,145,1,90,2,3375,NaN,NaN,NaN,NaN
21,20.854874,twentyMin,1,1635598658560,22.26,4.422,20.979,20905.900000035763,NaN,78,94,102,146,NaN,146,21.056,145,1,90,2,3376,NaN,NaN,NaN,NaN
22,21.44552,twentyMin,1,1635598659151,26.73,4.676,25.401,21514.30000001192,NaN,79,100,104,146,NaN,146,22.101,145,1,90,2,3377,NaN,NaN,NaN,NaN
23,22.86715,twentyMin,1,1635598660573,31.47,4.904,30.078,22903.5,NaN,81,106,105,145,NaN,145,23.147,145,1,90,2,3378,NaN,NaN,NaN,NaN
24,23.426445,twentyMin,1,1635598661132,36.43,5.111,34.982,23510.5,NaN,81,111,107,145,NaN,145,24.109,145,1,90,2,3379,NaN,NaN,NaN,NaN
25,24.354847,twentyMin,1,1635598662062,41.62,5.3,40.093,24404.400000035763,NaN,81,116,108,145,NaN,145,24.960,145,1,90,2,3380,NaN,NaN,NaN,NaN
26,25.355107,twentyMin,1,1635598663061,46.98,5.474,45.393,25403.600000023842,NaN,82,120,109,145,NaN,145,25.841,145,1,90,2,3381,NaN,NaN,NaN,NaN
27,26.373894,twentyMin,1,1635598664079,52.48,5.633,50.867,26412.80000001192,NaN,84,123,109,145,NaN,145,26.870,145,1,90,2,3382,NaN,NaN,NaN,NaN
28,27.59101,twentyMin,1,1635598665296,58.16,5.782,56.5,27616.5,NaN,84,127,110,146,NaN,146,28.132,145,1,90,2,3383,NaN,NaN,NaN,NaN
29,28.354526,twentyMin,1,1635598666062,63.97,5.918,62.282,28414.900000035763,NaN,83,130,110,146,NaN,146,28.981,145,1,90,2,3384,NaN,NaN,NaN,NaN
30,29.605047,twentyMin,1,1635598667311,69.92,6.043,68.2,29607.600000023842,NaN,83,133,111,145,NaN,145,30.024,145,1,90,2,3385,NaN,NaN,NaN,NaN
31,30.605083,twentyMin,1,1635598668311,76,6.16,74.243,30607.600000023842,NaN,84,136,111,146,NaN,146,30.974,145,1,90,2,3386,NaN,NaN,NaN,NaN
32,31.551901,twentyMin,1,1635598669257,82.17,6.266,80.403,31606,NaN,84,138,112,145,NaN,145,32.013,145,1,90,2,3387,NaN,NaN,NaN,NaN
33,32.762866,twentyMin,1,1635598670468,88.47,6.365,86.67,32814.90000003576,NaN,84,141,113,145,NaN,145,33.126,145,1,90,2,3388,NaN,NaN,NaN,NaN
34,33.776667,twentyMin,1,1635598671482,94.59,6.456,93.035,33816.19999998808,NaN,83,137,113,145,NaN,145,34.121,145,1,90,2,3389,NaN,NaN,NaN,NaN
