Stages_Data,,,,,
English,,,,,
Time,Miles,MPH,Watts,HR,RPM,Resistance,Relative Resistance,Incline
00:00,0.0000,13.18,68,0,80,8,33,0
00:01,0.0037,13.18,68,0,80,8,33,0
00:02,0.0075,13.18,68,0,80,8,33,0
00:03,0.0112,13.18,68,0,80,8,33,0
00:04,0.0149,13.18,68,0,80,8,33,0
00:05,0.0186,13.18,68,0,80,8,33,0
00:06,0.0217,13.51,37,0,82,6,25,0
00:07,0.0242,12.54,37,0,82,6,25,0
00:08,0.0280,12.54,37,0,82,6,25,0
00:09,0.0317,12.70,37,0,83,6,25,0
00:10,0.0342,12.70,27,0,84,6,25,0
00:11,0.0379,12.84,27,0,85,6,25,0
00:12,0.0416,13.01,27,0,85,6,25,0
00:13,0.0441,13.01,27,0,85,6,25,0
00:14,0.0478,12.84,27,0,84,6,25,0
00:15,0.0522,12.84,27,0,85,6,25,0
00:16,0.0547,13.01,27,0,84,6,25,0
00:17,0.0578,13.01,27,0,85,6,25,0
00:18,0.0603,13.01,27,0,85,6,25,0
00:19,0.0640,13.15,28,0,86,6,25,0
00:20,0.0677,13.01,28,0,86,6,25,0
00:21,0.0708,13.01,28,106,86,6,25,0
00:22,0.0764,13.01,28,107,86,6,25,0
00:23,0.0777,13.01,28,107,86,6,25,0
00:24,0.0808,13.15,28,107,86,6,25,0
00:25,0.0857,13.15,28,107,86,6,25,0
00:26,0.0882,13.01,27,107,85,6,25,0
00:27,0.0932,13.01,27,107,85,6,25,0
00:28,0.0957,13.01,27,106,85,6,25,0
00:29,0.0994,12.84,27,106,84,6,25,0
00:30,0.1031,12.84,27,106,84,6,25,0
00:31,0.1056,12.84,27,105,84,6,25,0
00:32,0.1106,12.84,27,105,84,6,25,0
00:33,0.1131,12.84,27,105,85,6,25,0
00:34,0.1168,13.01,27,105,85,6,25,0
00:35,0.1193,13.01,27,105,85,6,25,0
00:36,0.1237,13.15,28,105,86,6,25,0
00:37,0.1274,13.31,28,105,87,6,25,0
00:38,0.1305,13.31,28,105,87,6,25,0
00:39,0.1336,13.31,28,106,87,6,25,0
00:40,0.1361,13.31,29,105,88,6,25,0
00:41,0.1411,13.61,30,105,89,6,25,0
00:42,0.1448,13.46,30,105,89,6,25,0
00:43,0.1479,13.46,30,105,89,6,25,0
00:44,0.1522,13.46,41,105,89,6,25,2
00:45,0.1560,13.46,41,105,89,6,25,2
